ID,談話関係,Arg1（1つ目の文）,Arg2（2つ目の文）
w201106-0000070695,原因・理由(順方向),ちょっとした手間で本格的な物になりますよ。,材料は、冷蔵庫の残り物で十分。
w201106-0000070695,原因・理由(順方向),ちょっとした手間で本格的な物になりますよ。,あるものを使っちゃいましょう。
w201106-0000467346,原因・理由(順方向),こちらのお店は豆腐かつ煮が名物で、,お昼時には大変な行列ができるのだとか。
w201106-0001202383,原因・理由(逆方向)  その他根拠(順方向):少数意見,米大統領選の民主党候補指名を争うクリントン上院議員に対してオバマ上院議員が怒った。,オバマ氏の失言を執拗に追及するクリントン氏の戦術が腹に据えかねたよう。
w201106-0002800098,原因・理由(順方向),なかなか傑作ポチ写真が出ない当ブログですので,今後も頑張っていきたいと思います！
w201106-0001620886,逆接・譲歩(順方向),七尾線の徳田駅はごく普通のローカル駅ではあるものの、,駅の一角がギャラリーになっています。
w201106-0001620886,逆接・譲歩(順方向),七尾線の徳田駅はごく普通のローカル駅ではあるものの、,駅の外観自体もかなり特徴的なものになっています。
w201106-0001620886,談話関係なし  逆接・譲歩(逆方向):少数意見,駅の一角がギャラリーになっています。,特別なものではないですが、
w201106-0001620886,逆接・譲歩(順方向),特別なものではないですが、,落ち着いた雰囲気になっています。
w201106-0001781836,談話関係なし  対比(方向なし):少数意見,クラス・サークル・ゼミ・職場・バイト先など、出会いの場は組織内であることって多いですよね。,個人と個人が出会う運命的な状況ってなかなかありません。
w201106-0001781836,原因・理由(順方向),クラス・サークル・ゼミ・職場・バイト先など、出会いの場は組織内であることって多いですよね。,そんな訳で今回は、組織内での恋愛を成功させる方法です。
w201106-0001781836,原因・理由(順方向),個人と個人が出会う運命的な状況ってなかなかありません。,そんな訳で今回は、組織内での恋愛を成功させる方法です。
w201106-0001002865,条件(順方向),当社と新たにお取引を始めてみませんか。,ご希望の方は下記メールアドレスからご連絡をお願い致します。
w201106-0001002865,原因・理由(順方向)  原因・理由(逆方向):少数意見,当社では、新たな発想で商品提案をして頂けるお取引先様を募集しています。,ご希望の方は下記メールアドレスからご連絡をお願い致します。
w201106-0002900063,原因・理由(順方向),カジュアルながら上品なトップスに、ボトムスはやはりラルフローレンのラインだけあって,タイトに着こなすのがお洒落です。
w201106-0000092302,逆接・譲歩(順方向),紹介予定派遣に限り派遣先との事前面接や履歴書の送付が認められている。,一般労働者派遣では、派遣先が派遣スタッフ個人を特定することは法律で禁じられている。
