,label,metric,mean,ci_lower,ci_upper
0,同時進行,test/acc,0.8060964789228219,0.7976314519121811,0.8145615059334627
1,同時進行,test/precision,0.6805498109673147,0.6642246043424286,0.6968750175922008
2,同時進行,test/recall,0.9900900900900902,0.9799621048162064,1.000218075363974
3,同時進行,test/f1,0.8060964789228219,0.7976314519121811,0.8145615059334627
4,時間,test/acc,0.0,,
5,時間,test/precision,,,
6,時間,test/recall,0.0,,
7,時間,test/f1,0.0,,
8,その他,test/acc,0.08704628704628706,3.4798360042512244e-05,0.17405777573253162
9,その他,test/precision,,,
10,その他,test/recall,0.06999999999999999,-0.00864317326581844,0.14864317326581844
11,その他,test/f1,0.08704628704628706,3.4798360042512244e-05,0.17405777573253162
12,逆接・譲歩,test/acc,0.0713212045451586,0.019741828923619607,0.12290058016669758
13,逆接・譲歩,test/precision,,,
14,逆接・譲歩,test/recall,0.046341463414634146,0.009035962085890567,0.08364696474337772
15,逆接・譲歩,test/f1,0.0713212045451586,0.019741828923619607,0.12290058016669758
16,場所,test/acc,0.0,,
17,場所,test/precision,,,
18,場所,test/recall,0.0,,
19,場所,test/f1,0.0,,
