,label,metric,mean,ci_lower,ci_upper
0,逆接・譲歩,test/acc,0.6904675641349575,0.6640338132759263,0.7169013149939887
1,逆接・譲歩,test/precision,0.7389035965275081,0.6902763459702256,0.7875308470847907
2,逆接・譲歩,test/recall,0.6609756097560975,0.6067017518892188,0.7152494676229761
3,逆接・譲歩,test/f1,0.6904675641349575,0.6640338132759263,0.7169013149939887
4,場所,test/acc,0.516969696969697,0.3473592790179769,0.686580114921417
5,場所,test/precision,,,
6,場所,test/recall,0.675,0.4553222213446022,0.8946777786553979
7,場所,test/f1,0.516969696969697,0.3473592790179769,0.686580114921417
8,同時進行,test/acc,0.9141081036715905,0.9059812399998782,0.9222349673433027
9,同時進行,test/precision,0.8801516765019979,0.861348931248529,0.8989544217554668
10,同時進行,test/recall,0.9522522522522522,0.9370525802523483,0.9674519242521561
11,同時進行,test/f1,0.9141081036715905,0.9059812399998782,0.9222349673433027
12,時間,test/acc,0.09,-0.022420636540110686,0.20242063654011067
13,時間,test/precision,,,
14,時間,test/recall,0.1,-0.023959006460912327,0.22395900646091232
15,時間,test/f1,0.09,-0.022420636540110686,0.20242063654011067
16,その他,test/acc,0.5694871794871794,0.4877413494597713,0.6512330095145875
17,その他,test/precision,0.9349999999999999,0.8729430707515602,0.9970569292484397
18,その他,test/recall,0.41999999999999993,0.3425876252768148,0.49741237472318506
19,その他,test/f1,0.5694871794871794,0.4877413494597713,0.6512330095145875
