,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,convert_connectives_to_dummy,逆接・譲歩,0.7027027027027027,0.6341463414634146,0.6666666666666666,0.6666666666666666
1,convert_connectives_to_dummy,同時進行,0.8770491803278688,0.963963963963964,0.9184549356223176,0.9184549356223176
2,convert_connectives_to_dummy,時間,,0.0,0.0,0.0
3,convert_connectives_to_dummy,場所,0.42857142857142855,0.75,0.5454545454545454,0.5454545454545454
4,convert_connectives_to_dummy,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,convert_connectives_to_dummy,逆接・譲歩,0.603448275862069,0.8536585365853658,0.7070707070707071,0.7070707070707071
1,convert_connectives_to_dummy,同時進行,0.9433962264150944,0.9009009009009009,0.9216589861751152,0.9216589861751152
2,convert_connectives_to_dummy,時間,,0.0,0.0,0.0
3,convert_connectives_to_dummy,場所,,0.0,0.0,0.0
4,convert_connectives_to_dummy,その他,0.75,0.3,0.42857142857142855,0.42857142857142855
0,convert_connectives_to_dummy,逆接・譲歩,0.6829268292682927,0.6829268292682927,0.6829268292682927,0.6829268292682927
1,convert_connectives_to_dummy,同時進行,0.8869565217391304,0.918918918918919,0.9026548672566371,0.9026548672566371
2,convert_connectives_to_dummy,時間,,0.0,0.0,0.0
3,convert_connectives_to_dummy,場所,0.5,0.75,0.6,0.6
4,convert_connectives_to_dummy,その他,1.0,0.6,0.75,0.75
0,convert_connectives_to_dummy,逆接・譲歩,0.8285714285714286,0.7073170731707317,0.7631578947368421,0.7631578947368421
1,convert_connectives_to_dummy,同時進行,0.8925619834710744,0.972972972972973,0.9310344827586207,0.9310344827586207
2,convert_connectives_to_dummy,時間,,0.0,0.0,0.0
3,convert_connectives_to_dummy,場所,0.42857142857142855,0.75,0.5454545454545454,0.5454545454545454
4,convert_connectives_to_dummy,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,convert_connectives_to_dummy,逆接・譲歩,0.78125,0.6097560975609756,0.684931506849315,0.684931506849315
1,convert_connectives_to_dummy,同時進行,0.8688524590163934,0.954954954954955,0.9098712446351931,0.9098712446351931
2,convert_connectives_to_dummy,時間,0.3333333333333333,0.5,0.4,0.4
3,convert_connectives_to_dummy,場所,0.6666666666666666,1.0,0.8,0.8
4,convert_connectives_to_dummy,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,convert_connectives_to_dummy,逆接・譲歩,0.6521739130434783,0.7317073170731707,0.6896551724137931,0.6896551724137931
1,convert_connectives_to_dummy,同時進行,0.896551724137931,0.9369369369369369,0.9162995594713657,0.9162995594713657
2,convert_connectives_to_dummy,時間,,0.0,0.0,0.0
3,convert_connectives_to_dummy,場所,0.0,0.0,0.0,0.0
4,convert_connectives_to_dummy,その他,0.8,0.4,0.5333333333333333,0.5333333333333333
0,convert_connectives_to_dummy,逆接・譲歩,0.8,0.5853658536585366,0.676056338028169,0.676056338028169
1,convert_connectives_to_dummy,同時進行,0.8571428571428571,0.972972972972973,0.9113924050632911,0.9113924050632911
2,convert_connectives_to_dummy,時間,0.5,0.5,0.5,0.5
3,convert_connectives_to_dummy,場所,0.6666666666666666,1.0,0.8,0.8
4,convert_connectives_to_dummy,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,convert_connectives_to_dummy,逆接・譲歩,0.7241379310344828,0.5121951219512195,0.6,0.6
1,convert_connectives_to_dummy,同時進行,0.816793893129771,0.963963963963964,0.8842975206611571,0.8842975206611571
2,convert_connectives_to_dummy,時間,,0.0,0.0,0.0
3,convert_connectives_to_dummy,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,convert_connectives_to_dummy,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,convert_connectives_to_dummy,逆接・譲歩,0.7428571428571429,0.6341463414634146,0.6842105263157895,0.6842105263157895
1,convert_connectives_to_dummy,同時進行,0.8760330578512396,0.954954954954955,0.9137931034482759,0.9137931034482759
2,convert_connectives_to_dummy,時間,,0.0,0.0,0.0
3,convert_connectives_to_dummy,場所,0.42857142857142855,0.75,0.5454545454545454,0.5454545454545454
4,convert_connectives_to_dummy,その他,0.8,0.4,0.5333333333333333,0.5333333333333333
0,convert_connectives_to_dummy,逆接・譲歩,0.8709677419354839,0.6585365853658537,0.75,0.75
1,convert_connectives_to_dummy,同時進行,0.8861788617886179,0.9819819819819819,0.9316239316239316,0.9316239316239316
2,convert_connectives_to_dummy,時間,,0.0,0.0,0.0
3,convert_connectives_to_dummy,場所,0.5,1.0,0.6666666666666666,0.6666666666666666
4,convert_connectives_to_dummy,その他,1.0,0.6,0.75,0.75
