,label,metric,mean,ci_lower,ci_upper
0,時間,test/acc,0.0,,
1,時間,test/precision,,,
2,時間,test/recall,0.0,,
3,時間,test/f1,0.0,,
4,場所,test/acc,0.4884920634920634,0.4112579171199161,0.5657262098642107
5,場所,test/precision,0.4043939393939394,0.32863784372227206,0.4801500350656068
6,場所,test/recall,0.725,0.5632287472510065,0.8867712527489935
7,場所,test/f1,0.4884920634920634,0.4112579171199161,0.5657262098642107
8,その他,test/acc,0.46328431372549017,0.34740780048733644,0.5791608269636439
9,その他,test/precision,,,
10,その他,test/recall,0.37,0.2661034202384386,0.4738965797615614
11,その他,test/f1,0.46328431372549017,0.34740780048733644,0.5791608269636439
12,逆接・譲歩,test/acc,0.3693807072057085,0.25097633200370617,0.4877850824077108
13,逆接・譲歩,test/precision,,,
14,逆接・譲歩,test/recall,0.2926829268292683,0.19355444336573327,0.3918114102928033
15,逆接・譲歩,test/f1,0.3693807072057085,0.25097633200370617,0.4877850824077108
16,同時進行,test/acc,0.8738945031359087,0.8624345745216,0.8853544317502173
17,同時進行,test/precision,0.7963942777926464,0.7751353566442769,0.8176531989410158
18,同時進行,test/recall,0.9702702702702701,0.9533247492189918,0.9872157913215485
19,同時進行,test/f1,0.8738945031359087,0.8624345745216,0.8853544317502173
