,label,metric,mean,ci_lower,ci_upper
0,時間,test/acc,0.0,,
1,時間,test/precision,,,
2,時間,test/recall,0.0,,
3,時間,test/f1,0.0,,
4,場所,test/acc,0.4426984126984127,0.3209131075745203,0.5644837178223051
5,場所,test/precision,,,
6,場所,test/recall,0.575,0.3553222213446021,0.7946777786553978
7,場所,test/f1,0.4426984126984127,0.3209131075745203,0.5644837178223051
8,同時進行,test/acc,0.8711823334169475,0.8504963206692908,0.8918683461646042
9,同時進行,test/precision,0.8013203323820182,0.7624976706408184,0.8401429941232179
10,同時進行,test/recall,0.9603603603603604,0.9385623128041821,0.9821584079165387
11,同時進行,test/f1,0.8711823334169475,0.8504963206692908,0.8918683461646042
12,逆接・譲歩,test/acc,0.45297661213387963,0.3140988169044464,0.5918544073633129
13,逆接・譲歩,test/precision,,,
14,逆接・譲歩,test/recall,0.402439024390244,0.27358973028923284,0.5312883184912551
15,逆接・譲歩,test/f1,0.45297661213387963,0.3140988169044464,0.5918544073633129
16,その他,test/acc,0.07743506493506494,0.01440722381321749,0.1404629060569124
17,その他,test/precision,,,
18,その他,test/recall,0.07,-0.0035965823743107916,0.1435965823743108
19,その他,test/f1,0.07743506493506494,0.01440722381321749,0.1404629060569124
