,label,metric,mean,ci_lower,ci_upper
0,場所,test/acc,0.2299766573295985,0.12290278742845917,0.3370505272307378
1,場所,test/precision,0.20625874125874127,0.10398796054849578,0.30852952196898675
2,場所,test/recall,0.3,0.1481818425742008,0.45181815742579917
3,場所,test/f1,0.2299766573295985,0.12290278742845917,0.3370505272307378
4,その他,test/acc,0.46557692307692317,0.41228881189347716,0.5188650342603692
5,その他,test/precision,0.7616666666666667,0.6517561534334533,0.8715771798998802
6,その他,test/recall,0.35,0.2928577214525881,0.40714227854741186
7,その他,test/f1,0.46557692307692317,0.41228881189347716,0.5188650342603692
8,時間,test/acc,0.29999999999999993,0.11064948994044971,0.48935051005955016
9,時間,test/precision,,,
10,時間,test/recall,0.25,0.09505124192385961,0.4049487580761404
11,時間,test/f1,0.29999999999999993,0.11064948994044971,0.48935051005955016
12,同時進行,test/acc,0.8998189720316088,0.8939601723012505,0.9056777717619671
13,同時進行,test/precision,0.859189340197221,0.843085407889517,0.8752932725049251
14,同時進行,test/recall,0.9459459459459459,0.9299565506874877,0.9619353412044042
15,同時進行,test/f1,0.8998189720316088,0.8939601723012505,0.9056777717619671
16,逆接・譲歩,test/acc,0.634664227268169,0.599610808346052,0.669717646190286
17,逆接・譲歩,test/precision,0.7028670567546539,0.6639651330263193,0.7417689804829884
18,逆接・譲歩,test/recall,0.5853658536585367,0.5347748557879394,0.635956851529134
19,逆接・譲歩,test/f1,0.634664227268169,0.599610808346052,0.669717646190286
