,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_connectives,逆接・譲歩,0.6,0.5853658536585366,0.5925925925925926,0.5925925925925926
1,exclude_connectives,同時進行,0.8849557522123894,0.9009009009009009,0.8928571428571429,0.8928571428571429
2,exclude_connectives,時間,,0.0,0.0,0.0
3,exclude_connectives,場所,0.18181818181818182,0.5,0.26666666666666666,0.26666666666666666
4,exclude_connectives,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,exclude_connectives,逆接・譲歩,0.8,0.6829268292682927,0.7368421052631579,0.7368421052631579
1,exclude_connectives,同時進行,0.8823529411764706,0.9459459459459459,0.9130434782608695,0.9130434782608695
2,exclude_connectives,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_connectives,場所,0.3333333333333333,0.25,0.2857142857142857,0.2857142857142857
4,exclude_connectives,その他,0.5,0.5,0.5,0.5
0,exclude_connectives,逆接・譲歩,0.6551724137931034,0.4634146341463415,0.5428571428571428,0.5428571428571428
1,exclude_connectives,同時進行,0.8307692307692308,0.972972972972973,0.8962655601659751,0.8962655601659751
2,exclude_connectives,時間,0.5,0.5,0.5,0.5
3,exclude_connectives,場所,0.0,0.0,0.0,0.0
4,exclude_connectives,その他,0.75,0.3,0.42857142857142855,0.42857142857142855
0,exclude_connectives,逆接・譲歩,0.6470588235294118,0.5365853658536586,0.5866666666666667,0.5866666666666667
1,exclude_connectives,同時進行,0.848,0.954954954954955,0.8983050847457628,0.8983050847457628
2,exclude_connectives,時間,,0.0,0.0,0.0
3,exclude_connectives,場所,0.0,0.0,0.0,0.0
4,exclude_connectives,その他,0.8333333333333334,0.5,0.625,0.625
0,exclude_connectives,逆接・譲歩,0.7586206896551724,0.5365853658536586,0.6285714285714286,0.6285714285714286
1,exclude_connectives,同時進行,0.8617886178861789,0.954954954954955,0.905982905982906,0.905982905982906
2,exclude_connectives,時間,,0.0,0.0,0.0
3,exclude_connectives,場所,0.23076923076923078,0.75,0.35294117647058826,0.35294117647058826
4,exclude_connectives,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,exclude_connectives,逆接・譲歩,0.7073170731707317,0.7073170731707317,0.7073170731707317,0.7073170731707317
1,exclude_connectives,同時進行,0.8879310344827587,0.9279279279279279,0.9074889867841409,0.9074889867841409
2,exclude_connectives,時間,,0.0,0.0,0.0
3,exclude_connectives,場所,0.4,0.5,0.4444444444444444,0.4444444444444444
4,exclude_connectives,その他,0.6666666666666666,0.4,0.5,0.5
0,exclude_connectives,逆接・譲歩,0.7777777777777778,0.5121951219512195,0.6176470588235294,0.6176470588235294
1,exclude_connectives,同時進行,0.816793893129771,0.963963963963964,0.8842975206611571,0.8842975206611571
2,exclude_connectives,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_connectives,場所,0.16666666666666666,0.25,0.2,0.2
4,exclude_connectives,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,exclude_connectives,逆接・譲歩,0.6363636363636364,0.6829268292682927,0.6588235294117647,0.6588235294117647
1,exclude_connectives,同時進行,0.8849557522123894,0.9009009009009009,0.8928571428571429,0.8928571428571429
2,exclude_connectives,時間,0.5,0.5,0.5,0.5
3,exclude_connectives,場所,0.25,0.25,0.25,0.25
4,exclude_connectives,その他,0.6,0.3,0.4,0.4
0,exclude_connectives,逆接・譲歩,0.7241379310344828,0.5121951219512195,0.6,0.6
1,exclude_connectives,同時進行,0.8244274809160306,0.972972972972973,0.8925619834710744,0.8925619834710744
2,exclude_connectives,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_connectives,場所,0.5,0.5,0.5,0.5
4,exclude_connectives,その他,0.6666666666666666,0.2,0.3076923076923077,0.3076923076923077
0,exclude_connectives,逆接・譲歩,0.7222222222222222,0.6341463414634146,0.6753246753246753,0.6753246753246753
1,exclude_connectives,同時進行,0.8699186991869918,0.963963963963964,0.9145299145299145,0.9145299145299145
2,exclude_connectives,時間,,0.0,0.0,0.0
3,exclude_connectives,場所,0.0,0.0,0.0,0.0
4,exclude_connectives,その他,0.6,0.3,0.4,0.4
