,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_content_words,逆接・譲歩,0.85,0.4146341463414634,0.5573770491803278,0.5573770491803278
1,exclude_content_words,同時進行,0.7971014492753623,0.990990990990991,0.8835341365461847,0.8835341365461847
2,exclude_content_words,時間,,0.0,0.0,0.0
3,exclude_content_words,場所,0.375,0.75,0.5,0.5
4,exclude_content_words,その他,0.0,0.0,0.0,0.0
0,exclude_content_words,逆接・譲歩,0.7058823529411765,0.2926829268292683,0.41379310344827586,0.41379310344827586
1,exclude_content_words,同時進行,0.7605633802816901,0.972972972972973,0.8537549407114624,0.8537549407114624
2,exclude_content_words,時間,,0.0,0.0,0.0
3,exclude_content_words,場所,0.42857142857142855,0.75,0.5454545454545454,0.5454545454545454
4,exclude_content_words,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,exclude_content_words,逆接・譲歩,0.5675675675675675,0.5121951219512195,0.5384615384615384,0.5384615384615384
1,exclude_content_words,同時進行,0.8048780487804879,0.8918918918918919,0.8461538461538461,0.8461538461538461
2,exclude_content_words,時間,,0.0,0.0,0.0
3,exclude_content_words,場所,0.42857142857142855,0.75,0.5454545454545454,0.5454545454545454
4,exclude_content_words,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,exclude_content_words,逆接・譲歩,0.7368421052631579,0.34146341463414637,0.4666666666666667,0.4666666666666667
1,exclude_content_words,同時進行,0.7737226277372263,0.954954954954955,0.8548387096774194,0.8548387096774194
2,exclude_content_words,時間,,0.0,0.0,0.0
3,exclude_content_words,場所,0.4444444444444444,1.0,0.6153846153846154,0.6153846153846154
4,exclude_content_words,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,exclude_content_words,逆接・譲歩,0.7142857142857143,0.4878048780487805,0.5797101449275363,0.5797101449275363
1,exclude_content_words,同時進行,0.8062015503875969,0.9369369369369369,0.8666666666666667,0.8666666666666667
2,exclude_content_words,時間,,0.0,0.0,0.0
3,exclude_content_words,場所,0.4444444444444444,1.0,0.6153846153846154,0.6153846153846154
4,exclude_content_words,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,exclude_content_words,逆接・譲歩,0.7368421052631579,0.34146341463414637,0.4666666666666667,0.4666666666666667
1,exclude_content_words,同時進行,0.7737226277372263,0.954954954954955,0.8548387096774194,0.8548387096774194
2,exclude_content_words,時間,,0.0,0.0,0.0
3,exclude_content_words,場所,0.4444444444444444,1.0,0.6153846153846154,0.6153846153846154
4,exclude_content_words,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,exclude_content_words,逆接・譲歩,0.7142857142857143,0.4878048780487805,0.5797101449275363,0.5797101449275363
1,exclude_content_words,同時進行,0.8062015503875969,0.9369369369369369,0.8666666666666667,0.8666666666666667
2,exclude_content_words,時間,,0.0,0.0,0.0
3,exclude_content_words,場所,0.4444444444444444,1.0,0.6153846153846154,0.6153846153846154
4,exclude_content_words,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,exclude_content_words,逆接・譲歩,0.7368421052631579,0.34146341463414637,0.4666666666666667,0.4666666666666667
1,exclude_content_words,同時進行,0.7737226277372263,0.954954954954955,0.8548387096774194,0.8548387096774194
2,exclude_content_words,時間,,0.0,0.0,0.0
3,exclude_content_words,場所,0.4444444444444444,1.0,0.6153846153846154,0.6153846153846154
4,exclude_content_words,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,exclude_content_words,逆接・譲歩,0.7142857142857143,0.4878048780487805,0.5797101449275363,0.5797101449275363
1,exclude_content_words,同時進行,0.8062015503875969,0.9369369369369369,0.8666666666666667,0.8666666666666667
2,exclude_content_words,時間,,0.0,0.0,0.0
3,exclude_content_words,場所,0.4444444444444444,1.0,0.6153846153846154,0.6153846153846154
4,exclude_content_words,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,exclude_content_words,逆接・譲歩,0.7368421052631579,0.34146341463414637,0.4666666666666667,0.4666666666666667
1,exclude_content_words,同時進行,0.7737226277372263,0.954954954954955,0.8548387096774194,0.8548387096774194
2,exclude_content_words,時間,,0.0,0.0,0.0
3,exclude_content_words,場所,0.4444444444444444,1.0,0.6153846153846154,0.6153846153846154
4,exclude_content_words,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
