,label,metric,mean,ci_lower,ci_upper
0,同時進行,test/acc,0.8629428203986522,0.8492421616180998,0.8766434791792046
1,同時進行,test/precision,0.7970282189580115,0.7650248569939628,0.8290315809220601
2,同時進行,test/recall,0.945045045045045,0.9278438659187747,0.9622462241713154
3,同時進行,test/f1,0.8629428203986522,0.8492421616180998,0.8766434791792046
4,場所,test/acc,0.41240981240981245,0.3488906436361939,0.475928981183431
5,場所,test/precision,0.3844444444444445,0.31823262074697145,0.4506562681419175
6,場所,test/recall,0.575,0.4045563661162455,0.7454436338837545
7,場所,test/f1,0.41240981240981245,0.3488906436361939,0.475928981183431
8,逆接・譲歩,test/acc,0.4399707049568276,0.3259907976283034,0.5539506122853518
9,逆接・譲歩,test/precision,0.5960209781529294,0.5585918539798302,0.6334501023260286
10,逆接・譲歩,test/recall,0.3926829268292683,0.2584140944242124,0.5269517592343242
11,逆接・譲歩,test/f1,0.4399707049568276,0.3259907976283034,0.5539506122853518
12,その他,test/acc,0.046753246753246755,0.002052523447826117,0.0914539700586674
13,その他,test/precision,,,
14,その他,test/recall,0.030000000000000006,0.0015974234910674685,0.05840257650893255
15,その他,test/f1,0.046753246753246755,0.002052523447826117,0.0914539700586674
16,時間,test/acc,0.0,,
17,時間,test/precision,,,
18,時間,test/recall,0.0,,
19,時間,test/f1,0.0,,
