,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_function_words,逆接・譲歩,0.5283018867924528,0.6829268292682927,0.5957446808510638,0.5957446808510638
1,exclude_function_words,同時進行,0.8738738738738738,0.8738738738738738,0.8738738738738738,0.8738738738738738
2,exclude_function_words,時間,,0.0,0.0,0.0
3,exclude_function_words,場所,0.3333333333333333,0.25,0.2857142857142857,0.2857142857142857
4,exclude_function_words,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,exclude_function_words,逆接・譲歩,0.65625,0.5121951219512195,0.5753424657534246,0.5753424657534246
1,exclude_function_words,同時進行,0.8091603053435115,0.954954954954955,0.8760330578512396,0.8760330578512396
2,exclude_function_words,時間,,0.0,0.0,0.0
3,exclude_function_words,場所,0.4,0.5,0.4444444444444444,0.4444444444444444
4,exclude_function_words,その他,,0.0,0.0,0.0
0,exclude_function_words,逆接・譲歩,0.65625,0.5121951219512195,0.5753424657534246,0.5753424657534246
1,exclude_function_words,同時進行,0.8253968253968254,0.9369369369369369,0.8776371308016878,0.8776371308016878
2,exclude_function_words,時間,,0.0,0.0,0.0
3,exclude_function_words,場所,0.5,0.75,0.6,0.6
4,exclude_function_words,その他,0.25,0.1,0.14285714285714285,0.14285714285714285
0,exclude_function_words,逆接・譲歩,0.6,0.14634146341463414,0.23529411764705882,0.23529411764705882
1,exclude_function_words,同時進行,0.7642857142857142,0.963963963963964,0.852589641434263,0.852589641434263
2,exclude_function_words,時間,,0.0,0.0,0.0
3,exclude_function_words,場所,0.2222222222222222,1.0,0.36363636363636365,0.36363636363636365
4,exclude_function_words,その他,,0.0,0.0,0.0
0,exclude_function_words,逆接・譲歩,0.5,0.12195121951219512,0.19607843137254902,0.19607843137254902
1,exclude_function_words,同時進行,0.7152317880794702,0.972972972972973,0.8244274809160306,0.8244274809160306
2,exclude_function_words,時間,,0.0,0.0,0.0
3,exclude_function_words,場所,0.5,0.25,0.3333333333333333,0.3333333333333333
4,exclude_function_words,その他,0.0,0.0,0.0,0.0
0,exclude_function_words,逆接・譲歩,0.631578947368421,0.5853658536585366,0.6075949367088608,0.6075949367088608
1,exclude_function_words,同時進行,0.8387096774193549,0.9369369369369369,0.8851063829787233,0.8851063829787233
2,exclude_function_words,時間,,0.0,0.0,0.0
3,exclude_function_words,場所,0.3333333333333333,0.5,0.4,0.4
4,exclude_function_words,その他,,0.0,0.0,0.0
0,exclude_function_words,逆接・譲歩,0.65625,0.5121951219512195,0.5753424657534246,0.5753424657534246
1,exclude_function_words,同時進行,0.8253968253968254,0.9369369369369369,0.8776371308016878,0.8776371308016878
2,exclude_function_words,時間,,0.0,0.0,0.0
3,exclude_function_words,場所,0.5,0.75,0.6,0.6
4,exclude_function_words,その他,0.25,0.1,0.14285714285714285,0.14285714285714285
0,exclude_function_words,逆接・譲歩,0.6,0.14634146341463414,0.23529411764705882,0.23529411764705882
1,exclude_function_words,同時進行,0.7642857142857142,0.963963963963964,0.852589641434263,0.852589641434263
2,exclude_function_words,時間,,0.0,0.0,0.0
3,exclude_function_words,場所,0.2222222222222222,1.0,0.36363636363636365,0.36363636363636365
4,exclude_function_words,その他,,0.0,0.0,0.0
0,exclude_function_words,逆接・譲歩,0.5,0.12195121951219512,0.19607843137254902,0.19607843137254902
1,exclude_function_words,同時進行,0.7152317880794702,0.972972972972973,0.8244274809160306,0.8244274809160306
2,exclude_function_words,時間,,0.0,0.0,0.0
3,exclude_function_words,場所,0.5,0.25,0.3333333333333333,0.3333333333333333
4,exclude_function_words,その他,0.0,0.0,0.0,0.0
0,exclude_function_words,逆接・譲歩,0.631578947368421,0.5853658536585366,0.6075949367088608,0.6075949367088608
1,exclude_function_words,同時進行,0.8387096774193549,0.9369369369369369,0.8851063829787233,0.8851063829787233
2,exclude_function_words,時間,,0.0,0.0,0.0
3,exclude_function_words,場所,0.3333333333333333,0.5,0.4,0.4
4,exclude_function_words,その他,,0.0,0.0,0.0
