,label,metric,mean,ci_lower,ci_upper
0,同時進行,test/acc,0.9053422965997957,0.8980028415304625,0.9126817516691289
1,同時進行,test/precision,0.8574002237723176,0.8440818107698062,0.8707186367748291
2,同時進行,test/recall,0.9594594594594597,0.9514647618302305,0.9674541570886888
3,同時進行,test/f1,0.9053422965997957,0.8980028415304625,0.9126817516691289
4,場所,test/acc,0.5938095238095238,0.4538569026893295,0.733762144929718
5,場所,test/precision,,,
6,場所,test/recall,0.675,0.491008544064223,0.8589914559357771
7,場所,test/f1,0.5938095238095238,0.4538569026893295,0.733762144929718
8,逆接・譲歩,test/acc,0.630330956722001,0.5961411899239341,0.664520723520068
9,逆接・譲歩,test/precision,0.7004266386880239,0.662699847395653,0.7381534299803948
10,逆接・譲歩,test/recall,0.5756097560975608,0.5354999498716011,0.6157195623235205
11,逆接・譲歩,test/f1,0.630330956722001,0.5961411899239341,0.664520723520068
12,その他,test/acc,0.6416666666666667,0.587325539138083,0.6960077941952504
13,その他,test/precision,0.9416666666666668,0.8848521220387486,0.9984812112945849
14,その他,test/recall,0.49000000000000005,0.43851595794540854,0.5414840420545916
15,その他,test/f1,0.6416666666666667,0.587325539138083,0.6960077941952504
16,時間,test/acc,0.13333333333333333,-0.031945341947883066,0.29861200861454973
17,時間,test/precision,,,
18,時間,test/recall,0.1,-0.023959006460912327,0.22395900646091232
19,時間,test/f1,0.13333333333333333,-0.031945341947883066,0.29861200861454973
