,label,metric,mean,ci_lower,ci_upper
0,同時進行,test/acc,0.9121866560657301,0.9071346834357608,0.9172386286956995
1,同時進行,test/precision,0.8872745540042406,0.8718061558353918,0.9027429521730894
2,同時進行,test/recall,0.9396396396396398,0.9266521939400617,0.9526270853392179
3,同時進行,test/f1,0.9121866560657301,0.9071346834357608,0.9172386286956995
4,逆接・譲歩,test/acc,0.6860027673212128,0.6672028212025932,0.7048027134398324
5,逆接・譲歩,test/precision,0.6998112984415459,0.6693729655213212,0.7302496313617706
6,逆接・譲歩,test/recall,0.6804878048780487,0.6354149450200967,0.7255606647360008
7,逆接・譲歩,test/f1,0.6860027673212128,0.6672028212025932,0.7048027134398324
8,場所,test/acc,0.5847619047619047,0.5262853444510748,0.6432384650727346
9,場所,test/precision,0.5866666666666667,0.5402854534485035,0.6330478798848298
10,場所,test/recall,0.6,0.49721862154597823,0.7027813784540218
11,場所,test/f1,0.5847619047619047,0.5262853444510748,0.6432384650727346
12,時間,test/acc,0.0,,
13,時間,test/precision,,,
14,時間,test/recall,0.0,,
15,時間,test/f1,0.0,,
16,その他,test/acc,0.6491199813258637,0.5996548909090045,0.6985850717427229
17,その他,test/precision,0.8782142857142856,0.8059213935294495,0.9505071778991218
18,その他,test/recall,0.52,0.4736187867818369,0.5663812132181631
19,その他,test/f1,0.6491199813258637,0.5996548909090045,0.6985850717427229
