,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_iru_aru_oku,逆接・譲歩,0.6511627906976745,0.6829268292682927,0.6666666666666666,0.6666666666666666
1,exclude_iru_aru_oku,同時進行,0.8879310344827587,0.9279279279279279,0.9074889867841409,0.9074889867841409
2,exclude_iru_aru_oku,時間,,0.0,0.0,0.0
3,exclude_iru_aru_oku,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,exclude_iru_aru_oku,その他,0.8333333333333334,0.5,0.625,0.625
0,exclude_iru_aru_oku,逆接・譲歩,0.8,0.5853658536585366,0.676056338028169,0.676056338028169
1,exclude_iru_aru_oku,同時進行,0.84251968503937,0.963963963963964,0.8991596638655462,0.8991596638655462
2,exclude_iru_aru_oku,時間,,0.0,0.0,0.0
3,exclude_iru_aru_oku,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_iru_aru_oku,その他,1.0,0.6,0.75,0.75
0,exclude_iru_aru_oku,逆接・譲歩,0.7058823529411765,0.5853658536585366,0.64,0.64
1,exclude_iru_aru_oku,同時進行,0.860655737704918,0.9459459459459459,0.9012875536480687,0.9012875536480687
2,exclude_iru_aru_oku,時間,,0.0,0.0,0.0
3,exclude_iru_aru_oku,場所,0.5,0.5,0.5,0.5
4,exclude_iru_aru_oku,その他,0.625,0.5,0.5555555555555556,0.5555555555555556
0,exclude_iru_aru_oku,逆接・譲歩,0.675,0.6585365853658537,0.6666666666666666,0.6666666666666666
1,exclude_iru_aru_oku,同時進行,0.8823529411764706,0.9459459459459459,0.9130434782608695,0.9130434782608695
2,exclude_iru_aru_oku,時間,,0.0,0.0,0.0
3,exclude_iru_aru_oku,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,exclude_iru_aru_oku,その他,1.0,0.6,0.75,0.75
0,exclude_iru_aru_oku,逆接・譲歩,0.6976744186046512,0.7317073170731707,0.7142857142857143,0.7142857142857143
1,exclude_iru_aru_oku,同時進行,0.9051724137931034,0.9459459459459459,0.9251101321585903,0.9251101321585903
2,exclude_iru_aru_oku,時間,,0.0,0.0,0.0
3,exclude_iru_aru_oku,場所,0.5,0.5,0.5,0.5
4,exclude_iru_aru_oku,その他,0.8,0.4,0.5333333333333333,0.5333333333333333
0,exclude_iru_aru_oku,逆接・譲歩,0.7105263157894737,0.6585365853658537,0.6835443037974683,0.6835443037974683
1,exclude_iru_aru_oku,同時進行,0.8842975206611571,0.963963963963964,0.9224137931034483,0.9224137931034483
2,exclude_iru_aru_oku,時間,,0.0,0.0,0.0
3,exclude_iru_aru_oku,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,exclude_iru_aru_oku,その他,0.8333333333333334,0.5,0.625,0.625
0,exclude_iru_aru_oku,逆接・譲歩,0.6829268292682927,0.6829268292682927,0.6829268292682927,0.6829268292682927
1,exclude_iru_aru_oku,同時進行,0.8888888888888888,0.9369369369369369,0.9122807017543859,0.9122807017543859
2,exclude_iru_aru_oku,時間,,0.0,0.0,0.0
3,exclude_iru_aru_oku,場所,0.5,0.5,0.5,0.5
4,exclude_iru_aru_oku,その他,1.0,0.6,0.75,0.75
0,exclude_iru_aru_oku,逆接・譲歩,0.7714285714285715,0.6585365853658537,0.7105263157894737,0.7105263157894737
1,exclude_iru_aru_oku,同時進行,0.8833333333333333,0.954954954954955,0.9177489177489178,0.9177489177489178
2,exclude_iru_aru_oku,時間,,0.0,0.0,0.0
3,exclude_iru_aru_oku,場所,0.6666666666666666,1.0,0.8,0.8
4,exclude_iru_aru_oku,その他,0.8571428571428571,0.6,0.7058823529411765,0.7058823529411765
0,exclude_iru_aru_oku,逆接・譲歩,0.6730769230769231,0.8536585365853658,0.7526881720430108,0.7526881720430108
1,exclude_iru_aru_oku,同時進行,0.9428571428571428,0.8918918918918919,0.9166666666666666,0.9166666666666666
2,exclude_iru_aru_oku,時間,,0.0,0.0,0.0
3,exclude_iru_aru_oku,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_iru_aru_oku,その他,0.8333333333333334,0.5,0.625,0.625
0,exclude_iru_aru_oku,逆接・譲歩,0.6304347826086957,0.7073170731707317,0.6666666666666666,0.6666666666666666
1,exclude_iru_aru_oku,同時進行,0.8947368421052632,0.918918918918919,0.9066666666666666,0.9066666666666666
2,exclude_iru_aru_oku,時間,,0.0,0.0,0.0
3,exclude_iru_aru_oku,場所,0.5,0.5,0.5,0.5
4,exclude_iru_aru_oku,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
