,label,metric,mean,ci_lower,ci_upper
0,時間,test/acc,0.17333333333333334,0.0037715890361415816,0.34289507763052507
1,時間,test/precision,,,
2,時間,test/recall,0.15,0.00798711745533734,0.2920128825446626
3,時間,test/f1,0.17333333333333334,0.0037715890361415816,0.34289507763052507
4,その他,test/acc,0.6537012497306616,0.5682945914911541,0.739107907970169
5,その他,test/precision,0.9135930735930737,0.8281296667191119,0.9990564804670355
6,その他,test/recall,0.54,0.4319350435390356,0.6480649564609644
7,その他,test/f1,0.6537012497306616,0.5682945914911541,0.739107907970169
8,同時進行,test/acc,0.9094499492223782,0.9044924105698908,0.9144074878748656
9,同時進行,test/precision,0.8734147691474063,0.8601636917274904,0.8866658465673223
10,同時進行,test/recall,0.9495495495495497,0.936288904076701,0.9628101950223985
11,同時進行,test/f1,0.9094499492223782,0.9044924105698908,0.9144074878748656
12,逆接・譲歩,test/acc,0.6724401302404375,0.6483597097053861,0.6965205507754888
13,逆接・譲歩,test/precision,0.7336187673018435,0.7028887983573456,0.7643487362463414
14,逆接・譲歩,test/recall,0.6268292682926828,0.5851272991408415,0.6685312374445241
15,逆接・譲歩,test/f1,0.6724401302404375,0.6483597097053861,0.6965205507754888
16,場所,test/acc,0.6887085137085137,0.607228804326743,0.7701882230902845
17,場所,test/precision,0.6259523809523809,0.5547860274796194,0.6971187344251425
18,場所,test/recall,0.8,0.6649188044237945,0.9350811955762056
19,場所,test/f1,0.6887085137085137,0.607228804326743,0.7701882230902845
