,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_koso,逆接・譲歩,0.71875,0.5609756097560976,0.6301369863013698,0.6301369863013698
1,exclude_koso,同時進行,0.8617886178861789,0.954954954954955,0.905982905982906,0.905982905982906
2,exclude_koso,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_koso,場所,0.8,1.0,0.8888888888888888,0.8888888888888888
4,exclude_koso,その他,0.8571428571428571,0.6,0.7058823529411765,0.7058823529411765
0,exclude_koso,逆接・譲歩,0.7575757575757576,0.6097560975609756,0.6756756756756757,0.6756756756756757
1,exclude_koso,同時進行,0.8688524590163934,0.954954954954955,0.9098712446351931,0.9098712446351931
2,exclude_koso,時間,,0.0,0.0,0.0
3,exclude_koso,場所,0.5714285714285714,1.0,0.7272727272727273,0.7272727272727273
4,exclude_koso,その他,1.0,0.6,0.75,0.75
0,exclude_koso,逆接・譲歩,0.7105263157894737,0.6585365853658537,0.6835443037974683,0.6835443037974683
1,exclude_koso,同時進行,0.8823529411764706,0.9459459459459459,0.9130434782608695,0.9130434782608695
2,exclude_koso,時間,,0.0,0.0,0.0
3,exclude_koso,場所,0.5,1.0,0.6666666666666666,0.6666666666666666
4,exclude_koso,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,exclude_koso,逆接・譲歩,0.7857142857142857,0.5365853658536586,0.6376811594202898,0.6376811594202898
1,exclude_koso,同時進行,0.84251968503937,0.963963963963964,0.8991596638655462,0.8991596638655462
2,exclude_koso,時間,0.3333333333333333,0.5,0.4,0.4
3,exclude_koso,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_koso,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,exclude_koso,逆接・譲歩,0.7027027027027027,0.6341463414634146,0.6666666666666666,0.6666666666666666
1,exclude_koso,同時進行,0.8760330578512396,0.954954954954955,0.9137931034482759,0.9137931034482759
2,exclude_koso,時間,,0.0,0.0,0.0
3,exclude_koso,場所,0.5,0.5,0.5,0.5
4,exclude_koso,その他,0.8333333333333334,0.5,0.625,0.625
0,exclude_koso,逆接・譲歩,0.7368421052631579,0.6829268292682927,0.7088607594936709,0.7088607594936709
1,exclude_koso,同時進行,0.8869565217391304,0.918918918918919,0.9026548672566371,0.9026548672566371
2,exclude_koso,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_koso,場所,0.5714285714285714,1.0,0.7272727272727273,0.7272727272727273
4,exclude_koso,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,exclude_koso,逆接・譲歩,0.625,0.7317073170731707,0.6741573033707865,0.6741573033707865
1,exclude_koso,同時進行,0.9017857142857143,0.9099099099099099,0.905829596412556,0.905829596412556
2,exclude_koso,時間,,0.0,0.0,0.0
3,exclude_koso,場所,0.75,0.75,0.75,0.75
4,exclude_koso,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,exclude_koso,逆接・譲歩,0.7567567567567568,0.6829268292682927,0.717948717948718,0.717948717948718
1,exclude_koso,同時進行,0.896551724137931,0.9369369369369369,0.9162995594713657,0.9162995594713657
2,exclude_koso,時間,,0.0,0.0,0.0
3,exclude_koso,場所,0.5,0.5,0.5,0.5
4,exclude_koso,その他,0.5454545454545454,0.6,0.5714285714285714,0.5714285714285714
0,exclude_koso,逆接・譲歩,0.7241379310344828,0.5121951219512195,0.6,0.6
1,exclude_koso,同時進行,0.8320610687022901,0.9819819819819819,0.9008264462809917,0.9008264462809917
2,exclude_koso,時間,,0.0,0.0,0.0
3,exclude_koso,場所,0.8,1.0,0.8888888888888888,0.8888888888888888
4,exclude_koso,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,exclude_koso,逆接・譲歩,0.8181818181818182,0.6585365853658537,0.7297297297297297,0.7297297297297297
1,exclude_koso,同時進行,0.8852459016393442,0.972972972972973,0.927038626609442,0.927038626609442
2,exclude_koso,時間,,0.0,0.0,0.0
3,exclude_koso,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,exclude_koso,その他,0.9,0.9,0.9,0.9
