,label,metric,mean,ci_lower,ci_upper
0,逆接・譲歩,test/acc,0.6592356017453358,0.6217537491886219,0.6967174543020497
1,逆接・譲歩,test/precision,0.7669495441042329,0.7281251206090046,0.8057739675994612
2,逆接・譲歩,test/recall,0.5853658536585366,0.5304432395407384,0.6402884677763347
3,逆接・譲歩,test/f1,0.6592356017453358,0.6217537491886219,0.6967174543020497
4,場所,test/acc,0.680952380952381,0.6276797266146603,0.7342250352901016
5,場所,test/precision,0.6133333333333332,0.5739168814560797,0.6527497852105867
6,場所,test/recall,0.8,0.6840469669545922,0.9159530330454079
7,場所,test/f1,0.680952380952381,0.6276797266146603,0.7342250352901016
8,時間,test/acc,0.2,0.010649489940449786,0.38935051005955024
9,時間,test/precision,,,
10,時間,test/recall,0.15,0.00798711745533734,0.2920128825446626
11,時間,test/f1,0.2,0.010649489940449786,0.38935051005955024
12,その他,test/acc,0.5948552754435108,0.5658035330880775,0.6239070177989441
13,その他,test/precision,0.7401406926406926,0.6521262664597245,0.8281551188216607
14,その他,test/recall,0.52,0.46596752176951783,0.5740324782304822
15,その他,test/f1,0.5948552754435108,0.5658035330880775,0.6239070177989441
16,同時進行,test/acc,0.9139577108101893,0.9062128124113454,0.9217026092090331
17,同時進行,test/precision,0.8685615491342291,0.8545482060769186,0.8825748921915396
18,同時進行,test/recall,0.9648648648648649,0.9571884928354236,0.9725412368943062
19,同時進行,test/f1,0.9139577108101893,0.9062128124113454,0.9217026092090331
