,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_mo,逆接・譲歩,0.725,0.7073170731707317,0.7160493827160493,0.7160493827160493
1,exclude_mo,同時進行,0.8974358974358975,0.9459459459459459,0.9210526315789473,0.9210526315789473
2,exclude_mo,時間,,0.0,0.0,0.0
3,exclude_mo,場所,0.6666666666666666,1.0,0.8,0.8
4,exclude_mo,その他,0.8,0.4,0.5333333333333333,0.5333333333333333
0,exclude_mo,逆接・譲歩,0.7419354838709677,0.5609756097560976,0.6388888888888888,0.6388888888888888
1,exclude_mo,同時進行,0.8629032258064516,0.963963963963964,0.9106382978723404,0.9106382978723404
2,exclude_mo,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_mo,場所,0.6666666666666666,1.0,0.8,0.8
4,exclude_mo,その他,0.8333333333333334,0.5,0.625,0.625
0,exclude_mo,逆接・譲歩,0.8064516129032258,0.6097560975609756,0.6944444444444444,0.6944444444444444
1,exclude_mo,同時進行,0.8780487804878049,0.972972972972973,0.9230769230769231,0.9230769230769231
2,exclude_mo,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_mo,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_mo,その他,0.625,0.5,0.5555555555555556,0.5555555555555556
0,exclude_mo,逆接・譲歩,0.6451612903225806,0.4878048780487805,0.5555555555555556,0.5555555555555556
1,exclude_mo,同時進行,0.8346456692913385,0.954954954954955,0.8907563025210085,0.8907563025210085
2,exclude_mo,時間,,0.0,0.0,0.0
3,exclude_mo,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,exclude_mo,その他,0.7142857142857143,0.5,0.5882352941176471,0.5882352941176471
0,exclude_mo,逆接・譲歩,0.7857142857142857,0.5365853658536586,0.6376811594202898,0.6376811594202898
1,exclude_mo,同時進行,0.8699186991869918,0.963963963963964,0.9145299145299145,0.9145299145299145
2,exclude_mo,時間,,0.0,0.0,0.0
3,exclude_mo,場所,0.5,0.75,0.6,0.6
4,exclude_mo,その他,0.5454545454545454,0.6,0.5714285714285714,0.5714285714285714
0,exclude_mo,逆接・譲歩,0.7,0.6829268292682927,0.691358024691358,0.691358024691358
1,exclude_mo,同時進行,0.8823529411764706,0.9459459459459459,0.9130434782608695,0.9130434782608695
2,exclude_mo,時間,,0.0,0.0,0.0
3,exclude_mo,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,exclude_mo,その他,0.8333333333333334,0.5,0.625,0.625
0,exclude_mo,逆接・譲歩,0.7692307692307693,0.4878048780487805,0.5970149253731343,0.5970149253731343
1,exclude_mo,同時進行,0.8384615384615385,0.9819819819819819,0.9045643153526971,0.9045643153526971
2,exclude_mo,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_mo,場所,0.6666666666666666,1.0,0.8,0.8
4,exclude_mo,その他,0.8,0.4,0.5333333333333333,0.5333333333333333
0,exclude_mo,逆接・譲歩,0.7931034482758621,0.5609756097560976,0.6571428571428571,0.6571428571428571
1,exclude_mo,同時進行,0.8492063492063492,0.963963963963964,0.9029535864978903,0.9029535864978903
2,exclude_mo,時間,,0.0,0.0,0.0
3,exclude_mo,場所,0.5,1.0,0.6666666666666666,0.6666666666666666
4,exclude_mo,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,exclude_mo,逆接・譲歩,0.8333333333333334,0.7317073170731707,0.7792207792207793,0.7792207792207793
1,exclude_mo,同時進行,0.907563025210084,0.972972972972973,0.9391304347826087,0.9391304347826087
2,exclude_mo,時間,,0.0,0.0,0.0
3,exclude_mo,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_mo,その他,0.75,0.6,0.6666666666666666,0.6666666666666666
0,exclude_mo,逆接・譲歩,0.8695652173913043,0.4878048780487805,0.625,0.625
1,exclude_mo,同時進行,0.8650793650793651,0.9819819819819819,0.919831223628692,0.919831223628692
2,exclude_mo,時間,,0.0,0.0,0.0
3,exclude_mo,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_mo,その他,0.5,0.7,0.5833333333333334,0.5833333333333334
