,label,metric,mean,ci_lower,ci_upper
0,場所,test/acc,0.4897619047619048,0.39195043556421355,0.5875733739595961
1,場所,test/precision,0.5449999999999999,0.4174725804143813,0.6725274195856186
2,場所,test/recall,0.5,0.3614096175650322,0.6385903824349678
3,場所,test/f1,0.4897619047619048,0.39195043556421355,0.5875733739595961
4,その他,test/acc,0.6424403958614484,0.5758735820292549,0.709007209693642
5,その他,test/precision,0.8396717171717171,0.7674057932411079,0.9119376411023262
6,その他,test/recall,0.55,0.4529867322955226,0.6470132677044775
7,その他,test/f1,0.6424403958614484,0.5758735820292549,0.709007209693642
8,同時進行,test/acc,0.9079974920875671,0.9015740725725443,0.9144209116025899
9,同時進行,test/precision,0.8699754442606362,0.8552476356990826,0.8847032528221899
10,同時進行,test/recall,0.9504504504504505,0.9376564970680484,0.9632444038328526
11,同時進行,test/f1,0.9079974920875671,0.9015740725725443,0.9144209116025899
12,逆接・譲歩,test/acc,0.6539491756813993,0.6262583364364461,0.6816400149263525
13,逆接・譲歩,test/precision,0.7148173918746098,0.6803011706836213,0.7493336130655983
14,逆接・譲歩,test/recall,0.6121951219512196,0.559632455948074,0.6647577879543652
15,逆接・譲歩,test/f1,0.6539491756813993,0.6262583364364461,0.6816400149263525
16,時間,test/acc,0.14666666666666667,-0.03607654665346621,0.32940987998679955
17,時間,test/precision,,,
18,時間,test/recall,0.15,-0.04843122967949068,0.3484312296794907
19,時間,test/f1,0.14666666666666667,-0.03607654665346621,0.32940987998679955
