,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_negation,逆接・譲歩,0.7647058823529411,0.6341463414634146,0.6933333333333334,0.6933333333333334
1,exclude_negation,同時進行,0.8833333333333333,0.954954954954955,0.9177489177489178,0.9177489177489178
2,exclude_negation,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_negation,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,exclude_negation,その他,0.75,0.6,0.6666666666666666,0.6666666666666666
0,exclude_negation,逆接・譲歩,0.7419354838709677,0.5609756097560976,0.6388888888888888,0.6388888888888888
1,exclude_negation,同時進行,0.856,0.963963963963964,0.9067796610169492,0.9067796610169492
2,exclude_negation,時間,,0.0,0.0,0.0
3,exclude_negation,場所,0.5,0.75,0.6,0.6
4,exclude_negation,その他,1.0,0.6,0.75,0.75
0,exclude_negation,逆接・譲歩,0.6739130434782609,0.7560975609756098,0.7126436781609196,0.7126436781609196
1,exclude_negation,同時進行,0.9122807017543859,0.9369369369369369,0.9244444444444444,0.9244444444444444
2,exclude_negation,時間,,0.0,0.0,0.0
3,exclude_negation,場所,0.25,0.25,0.25,0.25
4,exclude_negation,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,exclude_negation,逆接・譲歩,0.71875,0.5609756097560976,0.6301369863013698,0.6301369863013698
1,exclude_negation,同時進行,0.8515625,0.9819819819819819,0.9121338912133892,0.9121338912133892
2,exclude_negation,時間,,0.0,0.0,0.0
3,exclude_negation,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,exclude_negation,その他,0.8,0.4,0.5333333333333333,0.5333333333333333
0,exclude_negation,逆接・譲歩,0.6511627906976745,0.6829268292682927,0.6666666666666666,0.6666666666666666
1,exclude_negation,同時進行,0.8888888888888888,0.9369369369369369,0.9122807017543859,0.9122807017543859
2,exclude_negation,時間,,0.0,0.0,0.0
3,exclude_negation,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_negation,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,exclude_negation,逆接・譲歩,0.75,0.7317073170731707,0.7407407407407407,0.7407407407407407
1,exclude_negation,同時進行,0.9035087719298246,0.9279279279279279,0.9155555555555556,0.9155555555555556
2,exclude_negation,時間,,0.0,0.0,0.0
3,exclude_negation,場所,0.3333333333333333,0.25,0.2857142857142857,0.2857142857142857
4,exclude_negation,その他,0.7272727272727273,0.8,0.7619047619047619,0.7619047619047619
0,exclude_negation,逆接・譲歩,0.6875,0.5365853658536586,0.6027397260273972,0.6027397260273972
1,exclude_negation,同時進行,0.8492063492063492,0.963963963963964,0.9029535864978903,0.9029535864978903
2,exclude_negation,時間,,0.0,0.0,0.0
3,exclude_negation,場所,1.0,0.25,0.4,0.4
4,exclude_negation,その他,0.6666666666666666,0.6,0.631578947368421,0.631578947368421
0,exclude_negation,逆接・譲歩,0.7777777777777778,0.5121951219512195,0.6176470588235294,0.6176470588235294
1,exclude_negation,同時進行,0.8492063492063492,0.963963963963964,0.9029535864978903,0.9029535864978903
2,exclude_negation,時間,,0.0,0.0,0.0
3,exclude_negation,場所,0.5,0.75,0.6,0.6
4,exclude_negation,その他,0.7777777777777778,0.7,0.7368421052631579,0.7368421052631579
0,exclude_negation,逆接・譲歩,0.6046511627906976,0.6341463414634146,0.6190476190476191,0.6190476190476191
1,exclude_negation,同時進行,0.8632478632478633,0.9099099099099099,0.8859649122807017,0.8859649122807017
2,exclude_negation,時間,,0.0,0.0,0.0
3,exclude_negation,場所,0.3333333333333333,0.25,0.2857142857142857,0.2857142857142857
4,exclude_negation,その他,0.8,0.4,0.5333333333333333,0.5333333333333333
0,exclude_negation,逆接・譲歩,0.7777777777777778,0.5121951219512195,0.6176470588235294,0.6176470588235294
1,exclude_negation,同時進行,0.84251968503937,0.963963963963964,0.8991596638655462,0.8991596638655462
2,exclude_negation,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_negation,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_negation,その他,0.875,0.7,0.7777777777777778,0.7777777777777778
