,label,metric,mean,ci_lower,ci_upper
0,その他,test/acc,0.13013653013653012,0.03385908449071527,0.22641397578234496
1,その他,test/precision,,,
2,その他,test/recall,0.08,0.01927273702968032,0.14072726297031968
3,その他,test/f1,0.13013653013653012,0.03385908449071527,0.22641397578234496
4,場所,test/acc,0.556132756132756,0.5072989460482377,0.6049665662172744
5,場所,test/precision,0.5695238095238095,0.4687152921010421,0.670332326946577
6,場所,test/recall,0.575,0.5039935587276686,0.6460064412723313
7,場所,test/f1,0.556132756132756,0.5072989460482377,0.6049665662172744
8,時間,test/acc,0.13333333333333333,-0.031945341947883066,0.29861200861454973
9,時間,test/precision,,,
10,時間,test/recall,0.1,-0.023959006460912327,0.22395900646091232
11,時間,test/f1,0.13333333333333333,-0.031945341947883066,0.29861200861454973
12,逆接・譲歩,test/acc,0.5920261949440413,0.5620016960520715,0.6220506938360111
13,逆接・譲歩,test/precision,0.6373232155845977,0.5982159174637863,0.6764305137054091
14,逆接・譲歩,test/recall,0.5682926829268293,0.5044962797469554,0.6320890861067032
15,逆接・譲歩,test/f1,0.5920261949440413,0.5620016960520715,0.6220506938360111
16,同時進行,test/acc,0.8802224136590825,0.8734487023518338,0.8869961249663312
17,同時進行,test/precision,0.8330888526527452,0.8116958775594512,0.8544818277460393
18,同時進行,test/recall,0.9360360360360358,0.9130882951706875,0.9589837769013841
19,同時進行,test/f1,0.8802224136590825,0.8734487023518338,0.8869961249663312
