,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_particle,逆接・譲歩,0.6875,0.5365853658536586,0.6027397260273972,0.6027397260273972
1,exclude_particle,同時進行,0.8372093023255814,0.972972972972973,0.9,0.9
2,exclude_particle,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_particle,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_particle,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,exclude_particle,逆接・譲歩,0.631578947368421,0.5853658536585366,0.6075949367088608,0.6075949367088608
1,exclude_particle,同時進行,0.8412698412698413,0.954954954954955,0.8945147679324894,0.8945147679324894
2,exclude_particle,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_particle,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,exclude_particle,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,exclude_particle,逆接・譲歩,0.5925925925925926,0.3902439024390244,0.47058823529411764,0.47058823529411764
1,exclude_particle,同時進行,0.7910447761194029,0.954954954954955,0.8653061224489796,0.8653061224489796
2,exclude_particle,時間,,0.0,0.0,0.0
3,exclude_particle,場所,0.42857142857142855,0.75,0.5454545454545454,0.5454545454545454
4,exclude_particle,その他,,0.0,0.0,0.0
0,exclude_particle,逆接・譲歩,0.6470588235294118,0.5365853658536586,0.5866666666666667,0.5866666666666667
1,exclude_particle,同時進行,0.813953488372093,0.9459459459459459,0.875,0.875
2,exclude_particle,時間,,0.0,0.0,0.0
3,exclude_particle,場所,0.5,0.5,0.5,0.5
4,exclude_particle,その他,0.0,0.0,0.0,0.0
0,exclude_particle,逆接・譲歩,0.6857142857142857,0.5853658536585366,0.631578947368421,0.631578947368421
1,exclude_particle,同時進行,0.8203125,0.9459459459459459,0.8786610878661087,0.8786610878661087
2,exclude_particle,時間,,0.0,0.0,0.0
3,exclude_particle,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_particle,その他,,0.0,0.0,0.0
0,exclude_particle,逆接・譲歩,0.5813953488372093,0.6097560975609756,0.5952380952380952,0.5952380952380952
1,exclude_particle,同時進行,0.8512396694214877,0.9279279279279279,0.8879310344827587,0.8879310344827587
2,exclude_particle,時間,,0.0,0.0,0.0
3,exclude_particle,場所,0.5,0.5,0.5,0.5
4,exclude_particle,その他,,0.0,0.0,0.0
0,exclude_particle,逆接・譲歩,0.6136363636363636,0.6585365853658537,0.6352941176470588,0.6352941176470588
1,exclude_particle,同時進行,0.8547008547008547,0.9009009009009009,0.8771929824561403,0.8771929824561403
2,exclude_particle,時間,,0.0,0.0,0.0
3,exclude_particle,場所,0.5,0.5,0.5,0.5
4,exclude_particle,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,exclude_particle,逆接・譲歩,0.5897435897435898,0.5609756097560976,0.575,0.575
1,exclude_particle,同時進行,0.8442622950819673,0.9279279279279279,0.8841201716738197,0.8841201716738197
2,exclude_particle,時間,,0.0,0.0,0.0
3,exclude_particle,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,exclude_particle,その他,0.25,0.1,0.14285714285714285,0.14285714285714285
0,exclude_particle,逆接・譲歩,0.782608695652174,0.43902439024390244,0.5625,0.5625
1,exclude_particle,同時進行,0.7730496453900709,0.9819819819819819,0.8650793650793651,0.8650793650793651
2,exclude_particle,時間,,0.0,0.0,0.0
3,exclude_particle,場所,0.5,0.5,0.5,0.5
4,exclude_particle,その他,,0.0,0.0,0.0
0,exclude_particle,逆接・譲歩,0.5614035087719298,0.7804878048780488,0.6530612244897959,0.6530612244897959
1,exclude_particle,同時進行,0.9038461538461539,0.8468468468468469,0.8744186046511628,0.8744186046511628
2,exclude_particle,時間,,0.0,0.0,0.0
3,exclude_particle,場所,0.4,0.5,0.4444444444444444,0.4444444444444444
4,exclude_particle,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
