,label,metric,mean,ci_lower,ci_upper
0,その他,test/acc,0.533631221719457,0.48391009587922884,0.5833523475596851
1,その他,test/precision,0.8847619047619049,0.8110057113079608,0.9585180982158489
2,その他,test/recall,0.38999999999999996,0.33851595794540845,0.44148404205459146
3,その他,test/f1,0.533631221719457,0.48391009587922884,0.5833523475596851
4,逆接・譲歩,test/acc,0.5837625414809284,0.5521893485948908,0.6153357343669661
5,逆接・譲歩,test/precision,0.678642156172644,0.6510416641040087,0.7062426482412794
6,逆接・譲歩,test/recall,0.5195121951219512,0.4716842994717257,0.5673400907721767
7,逆接・譲歩,test/f1,0.5837625414809284,0.5521893485948908,0.6153357343669661
8,時間,test/acc,0.3366666666666666,0.15480144061677983,0.5185318927165534
9,時間,test/precision,,,
10,時間,test/recall,0.35,0.1515687703205093,0.5484312296794907
11,時間,test/f1,0.3366666666666666,0.15480144061677983,0.5185318927165534
12,場所,test/acc,0.5883838383838383,0.5418099730296524,0.6349577037380243
13,場所,test/precision,0.5,0.4659371557545879,0.5340628442454121
14,場所,test/recall,0.725,0.6415575401099171,0.8084424598900829
15,場所,test/f1,0.5883838383838383,0.5418099730296524,0.6349577037380243
16,同時進行,test/acc,0.8923621858660151,0.8846169117910008,0.9001074599410295
17,同時進行,test/precision,0.8437802447563703,0.8297752011698948,0.8577852883428457
18,同時進行,test/recall,0.9477477477477478,0.9345814852928073,0.9609140102026884
19,同時進行,test/f1,0.8923621858660151,0.8846169117910008,0.9001074599410295
