,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,former-only,逆接・譲歩,0.7407407407407407,0.4878048780487805,0.5882352941176471,0.5882352941176471
1,former-only,同時進行,0.8244274809160306,0.972972972972973,0.8925619834710744,0.8925619834710744
2,former-only,時間,,0.0,0.0,0.0
3,former-only,場所,0.5714285714285714,1.0,0.7272727272727273,0.7272727272727273
4,former-only,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,former-only,逆接・譲歩,0.6666666666666666,0.5365853658536586,0.5945945945945946,0.5945945945945946
1,former-only,同時進行,0.8455284552845529,0.9369369369369369,0.8888888888888888,0.8888888888888888
2,former-only,時間,0.5,0.5,0.5,0.5
3,former-only,場所,0.5,0.75,0.6,0.6
4,former-only,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,former-only,逆接・譲歩,0.696969696969697,0.5609756097560976,0.6216216216216216,0.6216216216216216
1,former-only,同時進行,0.8536585365853658,0.9459459459459459,0.8974358974358975,0.8974358974358975
2,former-only,時間,,0.0,0.0,0.0
3,former-only,場所,0.4,0.5,0.4444444444444444,0.4444444444444444
4,former-only,その他,0.7142857142857143,0.5,0.5882352941176471,0.5882352941176471
0,former-only,逆接・譲歩,0.75,0.36585365853658536,0.4918032786885246,0.4918032786885246
1,former-only,同時進行,0.8,0.972972972972973,0.8780487804878049,0.8780487804878049
2,former-only,時間,0.5,0.5,0.5,0.5
3,former-only,場所,0.5,0.75,0.6,0.6
4,former-only,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,former-only,逆接・譲歩,0.6296296296296297,0.4146341463414634,0.5,0.5
1,former-only,同時進行,0.813953488372093,0.9459459459459459,0.875,0.875
2,former-only,時間,0.5,0.5,0.5,0.5
3,former-only,場所,0.5,0.75,0.6,0.6
4,former-only,その他,0.75,0.3,0.42857142857142855,0.42857142857142855
0,former-only,逆接・譲歩,0.6097560975609756,0.6097560975609756,0.6097560975609756,0.6097560975609756
1,former-only,同時進行,0.8620689655172413,0.9009009009009009,0.8810572687224669,0.8810572687224669
2,former-only,時間,,0.0,0.0,0.0
3,former-only,場所,0.42857142857142855,0.75,0.5454545454545454,0.5454545454545454
4,former-only,その他,0.75,0.3,0.42857142857142855,0.42857142857142855
0,former-only,逆接・譲歩,0.6944444444444444,0.6097560975609756,0.6493506493506493,0.6493506493506493
1,former-only,同時進行,0.8629032258064516,0.963963963963964,0.9106382978723404,0.9106382978723404
2,former-only,時間,,0.0,0.0,0.0
3,former-only,場所,0.5,0.5,0.5,0.5
4,former-only,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,former-only,逆接・譲歩,0.6857142857142857,0.5853658536585366,0.631578947368421,0.631578947368421
1,former-only,同時進行,0.875,0.9459459459459459,0.9090909090909091,0.9090909090909091
2,former-only,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,former-only,場所,0.5,0.75,0.6,0.6
4,former-only,その他,0.8333333333333334,0.5,0.625,0.625
0,former-only,逆接・譲歩,0.625,0.4878048780487805,0.547945205479452,0.547945205479452
1,former-only,同時進行,0.8442622950819673,0.9279279279279279,0.8841201716738197,0.8841201716738197
2,former-only,時間,0.3333333333333333,0.5,0.4,0.4
3,former-only,場所,0.5,0.75,0.6,0.6
4,former-only,その他,0.8,0.4,0.5333333333333333,0.5333333333333333
0,former-only,逆接・譲歩,0.6875,0.5365853658536586,0.6027397260273972,0.6027397260273972
1,former-only,同時進行,0.856,0.963963963963964,0.9067796610169492,0.9067796610169492
2,former-only,時間,0.6666666666666666,1.0,0.8,0.8
3,former-only,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,former-only,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
