,label,metric,mean,ci_lower,ci_upper
0,その他,test/acc,0.42864552028638714,0.36683397641446147,0.4904570641583128
1,その他,test/precision,0.6950396825396825,0.5838209589686301,0.806258406110735
2,その他,test/recall,0.33,0.26182254644649827,0.39817745355350176
3,その他,test/f1,0.42864552028638714,0.36683397641446147,0.4904570641583128
4,場所,test/acc,0.6395021645021643,0.5946952248112114,0.6843091041931173
5,場所,test/precision,0.6426190476190476,0.6097108828085912,0.6755272124295041
6,場所,test/recall,0.675,0.5539811512453686,0.7960188487546315
7,場所,test/f1,0.6395021645021643,0.5946952248112114,0.6843091041931173
8,同時進行,test/acc,0.8711166420626633,0.8614876239059309,0.8807456602193956
9,同時進行,test/precision,0.8116140760783557,0.7994090786938854,0.8238190734628259
10,同時進行,test/recall,0.9405405405405407,0.9270468254602856,0.9540342556207958
11,同時進行,test/f1,0.8711166420626633,0.8614876239059309,0.8807456602193956
12,時間,test/acc,0.38666666666666666,0.2425800580520474,0.5307532752812859
13,時間,test/precision,,,
14,時間,test/recall,0.45,0.2831150802198341,0.6168849197801659
15,時間,test/f1,0.38666666666666666,0.2425800580520474,0.5307532752812859
16,逆接・譲歩,test/acc,0.5618730494745785,0.526703336774175,0.597042762174982
17,逆接・譲歩,test/precision,0.7012328412328412,0.6588913193356725,0.74357436313001
18,逆接・譲歩,test/recall,0.47073170731707314,0.43557057383772746,0.5058928407964188
19,逆接・譲歩,test/f1,0.5618730494745785,0.526703336774175,0.597042762174982
