,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,latter-only,逆接・譲歩,0.7037037037037037,0.4634146341463415,0.5588235294117647,0.5588235294117647
1,latter-only,同時進行,0.8015267175572519,0.9459459459459459,0.8677685950413223,0.8677685950413223
2,latter-only,時間,,0.0,0.0,0.0
3,latter-only,場所,0.5714285714285714,1.0,0.7272727272727273,0.7272727272727273
4,latter-only,その他,0.6666666666666666,0.2,0.3076923076923077,0.3076923076923077
0,latter-only,逆接・譲歩,0.5862068965517241,0.4146341463414634,0.4857142857142857,0.4857142857142857
1,latter-only,同時進行,0.7890625,0.9099099099099099,0.8451882845188284,0.8451882845188284
2,latter-only,時間,0.3333333333333333,0.5,0.4,0.4
3,latter-only,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,latter-only,その他,0.8,0.4,0.5333333333333333,0.5333333333333333
0,latter-only,逆接・譲歩,0.625,0.36585365853658536,0.46153846153846156,0.46153846153846156
1,latter-only,同時進行,0.7819548872180451,0.9369369369369369,0.8524590163934426,0.8524590163934426
2,latter-only,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,latter-only,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,latter-only,その他,0.6,0.3,0.4,0.4
0,latter-only,逆接・譲歩,0.625,0.4878048780487805,0.547945205479452,0.547945205479452
1,latter-only,同時進行,0.8264462809917356,0.9009009009009009,0.8620689655172413,0.8620689655172413
2,latter-only,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,latter-only,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,latter-only,その他,0.4444444444444444,0.4,0.42105263157894735,0.42105263157894735
0,latter-only,逆接・譲歩,0.7666666666666667,0.5609756097560976,0.647887323943662,0.647887323943662
1,latter-only,同時進行,0.848,0.954954954954955,0.8983050847457628,0.8983050847457628
2,latter-only,時間,0.3333333333333333,0.5,0.4,0.4
3,latter-only,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,latter-only,その他,0.7142857142857143,0.5,0.5882352941176471,0.5882352941176471
0,latter-only,逆接・譲歩,0.7692307692307693,0.4878048780487805,0.5970149253731343,0.5970149253731343
1,latter-only,同時進行,0.8106060606060606,0.963963963963964,0.8806584362139918,0.8806584362139918
2,latter-only,時間,0.25,0.5,0.3333333333333333,0.3333333333333333
3,latter-only,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,latter-only,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,latter-only,逆接・譲歩,0.7727272727272727,0.4146341463414634,0.5396825396825397,0.5396825396825397
1,latter-only,同時進行,0.7910447761194029,0.954954954954955,0.8653061224489796,0.8653061224489796
2,latter-only,時間,0.3333333333333333,0.5,0.4,0.4
3,latter-only,場所,0.75,0.75,0.75,0.75
4,latter-only,その他,0.6,0.3,0.4,0.4
0,latter-only,逆接・譲歩,0.6551724137931034,0.4634146341463415,0.5428571428571428,0.5428571428571428
1,latter-only,同時進行,0.8225806451612904,0.918918918918919,0.8680851063829788,0.8680851063829788
2,latter-only,時間,0.25,0.5,0.3333333333333333,0.3333333333333333
3,latter-only,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,latter-only,その他,0.625,0.5,0.5555555555555556,0.5555555555555556
0,latter-only,逆接・譲歩,0.75,0.5121951219512195,0.6086956521739131,0.6086956521739131
1,latter-only,同時進行,0.816793893129771,0.963963963963964,0.8842975206611571,0.8842975206611571
2,latter-only,時間,0.5,1.0,0.6666666666666666,0.6666666666666666
3,latter-only,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,latter-only,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,latter-only,逆接・譲歩,0.7586206896551724,0.5365853658536586,0.6285714285714286,0.6285714285714286
1,latter-only,同時進行,0.828125,0.954954954954955,0.8870292887029289,0.8870292887029289
2,latter-only,時間,,0.0,0.0,0.0
3,latter-only,場所,0.5714285714285714,1.0,0.7272727272727273,0.7272727272727273
4,latter-only,その他,0.5,0.2,0.2857142857142857,0.2857142857142857
