,label,metric,mean,ci_lower,ci_upper
0,場所,test/acc,0.595952380952381,0.5314182741335479,0.6604864877712141
1,場所,test/precision,0.625,0.5290651518412296,0.7209348481587704
2,場所,test/recall,0.6,0.49721862154597823,0.7027813784540218
3,場所,test/f1,0.595952380952381,0.5314182741335479,0.6604864877712141
4,時間,test/acc,0.08,-0.019167205168729856,0.17916720516872986
5,時間,test/precision,,,
6,時間,test/recall,0.1,-0.023959006460912327,0.22395900646091232
7,時間,test/f1,0.08,-0.019167205168729856,0.17916720516872986
8,同時進行,test/acc,0.9158770303333371,0.9081187032614948,0.9236353574051794
9,同時進行,test/precision,0.8882812689407593,0.8750749246638087,0.90148761321771
10,同時進行,test/recall,0.9459459459459459,0.9332130619021227,0.9586788299897692
11,同時進行,test/f1,0.9158770303333371,0.9081187032614948,0.9236353574051794
12,逆接・譲歩,test/acc,0.6909375830863119,0.6574377623743884,0.7244374037982354
13,逆接・譲歩,test/precision,0.7221192797916021,0.6849793901628098,0.7592591694203943
14,逆接・譲歩,test/recall,0.6707317073170731,0.6191343811010716,0.7223290335330746
15,逆接・譲歩,test/f1,0.6909375830863119,0.6574377623743884,0.7244374037982354
16,その他,test/acc,0.6264069264069263,0.5702699323353538,0.6825439204784988
17,その他,test/precision,0.8333333333333334,0.7195869192251219,0.9470797474415449
18,その他,test/recall,0.52,0.46596752176951783,0.5740324782304822
19,その他,test/f1,0.6264069264069263,0.5702699323353538,0.6825439204784988
