,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,normal,逆接・譲歩,0.6666666666666666,0.5365853658536586,0.5945945945945946,0.5945945945945946
1,normal,同時進行,0.875,0.9459459459459459,0.9090909090909091,0.9090909090909091
2,normal,時間,,0.0,0.0,0.0
3,normal,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,normal,その他,0.4166666666666667,0.5,0.45454545454545453,0.45454545454545453
0,normal,逆接・譲歩,0.625,0.7317073170731707,0.6741573033707865,0.6741573033707865
1,normal,同時進行,0.9,0.8918918918918919,0.8959276018099548,0.8959276018099548
2,normal,時間,,0.0,0.0,0.0
3,normal,場所,0.5,0.5,0.5,0.5
4,normal,その他,0.8333333333333334,0.5,0.625,0.625
0,normal,逆接・譲歩,0.7142857142857143,0.7317073170731707,0.7228915662650602,0.7228915662650602
1,normal,同時進行,0.905982905982906,0.954954954954955,0.9298245614035088,0.9298245614035088
2,normal,時間,,0.0,0.0,0.0
3,normal,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,normal,その他,0.8333333333333334,0.5,0.625,0.625
0,normal,逆接・譲歩,0.7714285714285715,0.6585365853658537,0.7105263157894737,0.7105263157894737
1,normal,同時進行,0.8898305084745762,0.9459459459459459,0.9170305676855895,0.9170305676855895
2,normal,時間,0.3333333333333333,0.5,0.4,0.4
3,normal,場所,0.5,0.5,0.5,0.5
4,normal,その他,0.75,0.6,0.6666666666666666,0.6666666666666666
0,normal,逆接・譲歩,0.7567567567567568,0.6829268292682927,0.717948717948718,0.717948717948718
1,normal,同時進行,0.8907563025210085,0.954954954954955,0.9217391304347826,0.9217391304347826
2,normal,時間,,0.0,0.0,0.0
3,normal,場所,0.75,0.75,0.75,0.75
4,normal,その他,0.875,0.7,0.7777777777777778,0.7777777777777778
0,normal,逆接・譲歩,0.8333333333333334,0.7317073170731707,0.7792207792207793,0.7792207792207793
1,normal,同時進行,0.8983050847457628,0.954954954954955,0.925764192139738,0.925764192139738
2,normal,時間,,0.0,0.0,0.0
3,normal,場所,0.5,0.75,0.6,0.6
4,normal,その他,0.625,0.5,0.5555555555555556,0.5555555555555556
0,normal,逆接・譲歩,0.6521739130434783,0.7317073170731707,0.6896551724137931,0.6896551724137931
1,normal,同時進行,0.9035087719298246,0.9279279279279279,0.9155555555555556,0.9155555555555556
2,normal,時間,,0.0,0.0,0.0
3,normal,場所,0.5,0.5,0.5,0.5
4,normal,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,normal,逆接・譲歩,0.725,0.7073170731707317,0.7160493827160493,0.7160493827160493
1,normal,同時進行,0.8983050847457628,0.954954954954955,0.925764192139738,0.925764192139738
2,normal,時間,,0.0,0.0,0.0
3,normal,場所,0.5,0.5,0.5,0.5
4,normal,その他,1.0,0.6,0.75,0.75
0,normal,逆接・譲歩,0.7073170731707317,0.7073170731707317,0.7073170731707317,0.7073170731707317
1,normal,同時進行,0.8916666666666667,0.963963963963964,0.9264069264069265,0.9264069264069265
2,normal,時間,,0.0,0.0,0.0
3,normal,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,normal,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,normal,逆接・譲歩,0.7692307692307693,0.4878048780487805,0.5970149253731343,0.5970149253731343
1,normal,同時進行,0.8294573643410853,0.963963963963964,0.8916666666666667,0.8916666666666667
2,normal,時間,0.3333333333333333,0.5,0.4,0.4
3,normal,場所,0.6666666666666666,1.0,0.8,0.8
4,normal,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
