,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,convert_all_words_to_dummy,逆接・譲歩,0.3333333333333333,0.0975609756097561,0.1509433962264151,0.1509433962264151
1,convert_all_words_to_dummy,同時進行,0.7012987012987013,0.972972972972973,0.8150943396226416,0.8150943396226416
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,0.5,0.1,0.16666666666666666,0.16666666666666666
0,convert_all_words_to_dummy,逆接・譲歩,0.45161290322580644,0.34146341463414637,0.3888888888888889,0.3888888888888889
1,convert_all_words_to_dummy,同時進行,0.7573529411764706,0.9279279279279279,0.8340080971659919,0.8340080971659919
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,convert_all_words_to_dummy,逆接・譲歩,0.4166666666666667,0.12195121951219512,0.18867924528301888,0.18867924528301888
1,convert_all_words_to_dummy,同時進行,0.7039473684210527,0.963963963963964,0.8136882129277566,0.8136882129277566
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,0.0,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,0.5,0.1,0.16666666666666666,0.16666666666666666
0,convert_all_words_to_dummy,逆接・譲歩,0.44,0.2682926829268293,0.3333333333333333,0.3333333333333333
1,convert_all_words_to_dummy,同時進行,0.7304964539007093,0.9279279279279279,0.8174603174603174,0.8174603174603174
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,0.0,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,convert_all_words_to_dummy,逆接・譲歩,0.4146341463414634,0.4146341463414634,0.4146341463414634,0.4146341463414634
1,convert_all_words_to_dummy,同時進行,0.7637795275590551,0.8738738738738738,0.8151260504201681,0.8151260504201681
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,,0.0,0.0,0.0
0,convert_all_words_to_dummy,逆接・譲歩,0.8,0.0975609756097561,0.17391304347826086,0.17391304347826086
1,convert_all_words_to_dummy,同時進行,0.6918238993710691,0.990990990990991,0.8148148148148148,0.8148148148148148
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,0.0,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,convert_all_words_to_dummy,逆接・譲歩,0.5,0.17073170731707318,0.2545454545454545,0.2545454545454545
1,convert_all_words_to_dummy,同時進行,0.7058823529411765,0.972972972972973,0.8181818181818182,0.8181818181818182
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,convert_all_words_to_dummy,逆接・譲歩,0.47058823529411764,0.1951219512195122,0.27586206896551724,0.27586206896551724
1,convert_all_words_to_dummy,同時進行,0.7191780821917808,0.9459459459459459,0.8171206225680934,0.8171206225680934
2,convert_all_words_to_dummy,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,convert_all_words_to_dummy,場所,0.0,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,convert_all_words_to_dummy,逆接・譲歩,0.36363636363636365,0.2926829268292683,0.32432432432432434,0.32432432432432434
1,convert_all_words_to_dummy,同時進行,0.7272727272727273,0.8648648648648649,0.7901234567901234,0.7901234567901234
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,0.0,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,0.0,0.0,0.0,0.0
0,convert_all_words_to_dummy,逆接・譲歩,0.4642857142857143,0.3170731707317073,0.37681159420289856,0.37681159420289856
1,convert_all_words_to_dummy,同時進行,0.7352941176470589,0.9009009009009009,0.8097165991902834,0.8097165991902834
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,0.0,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
