,label,metric,mean,ci_lower,ci_upper
0,時間,test/acc,0.6938095238095238,0.6316468824150082,0.7559721652040393
1,時間,test/precision,0.7066666666666668,0.576067749504686,0.8372655838286476
2,時間,test/recall,0.8,0.6481818425742009,0.9518181574257992
3,時間,test/f1,0.6938095238095238,0.6316468824150082,0.7559721652040393
4,その他,test/acc,0.7320910118433337,0.6634955829228455,0.8006864407638219
5,その他,test/precision,0.9688888888888888,0.9284040469086757,1.009373730869102
6,その他,test/recall,0.6100000000000001,0.5121979935608254,0.7078020064391748
7,その他,test/f1,0.7320910118433337,0.6634955829228455,0.8006864407638219
8,同時進行,test/acc,0.9144989939031202,0.9085731086203215,0.9204248791859189
9,同時進行,test/precision,0.8719449560749928,0.8581274410444333,0.8857624711055523
10,同時進行,test/recall,0.9621621621621623,0.9525555342940885,0.9717687900302362
11,同時進行,test/f1,0.9144989939031202,0.9085731086203215,0.9204248791859189
12,逆接・譲歩,test/acc,0.7033250931524729,0.6753886056128382,0.7312615806921077
13,逆接・譲歩,test/precision,0.8074377177360741,0.7732747549568176,0.8416006805153305
14,逆接・譲歩,test/recall,0.6317073170731706,0.5827461255377677,0.6806685086085735
15,逆接・譲歩,test/f1,0.7033250931524729,0.6753886056128382,0.7312615806921077
16,場所,test/acc,0.7217748917748918,0.6653366262449798,0.7782131573048039
17,場所,test/precision,0.7738095238095238,0.6695137893230764,0.8781052582959713
18,場所,test/recall,0.725,0.6165358693467017,0.8334641306532983
19,場所,test/f1,0.7217748917748918,0.6653366262449798,0.7782131573048039
