,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,convert_connectives_to_dummy,逆接・譲歩,0.6976744186046512,0.7317073170731707,0.7142857142857143,0.7142857142857143
1,convert_connectives_to_dummy,同時進行,0.9026548672566371,0.918918918918919,0.9107142857142857,0.9107142857142857
2,convert_connectives_to_dummy,時間,0.4,1.0,0.5714285714285714,0.5714285714285714
3,convert_connectives_to_dummy,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,convert_connectives_to_dummy,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,convert_connectives_to_dummy,逆接・譲歩,0.8529411764705882,0.7073170731707317,0.7733333333333333,0.7733333333333333
1,convert_connectives_to_dummy,同時進行,0.8916666666666667,0.963963963963964,0.9264069264069265,0.9264069264069265
2,convert_connectives_to_dummy,時間,0.6666666666666666,1.0,0.8,0.8
3,convert_connectives_to_dummy,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,convert_connectives_to_dummy,その他,1.0,0.8,0.8888888888888888,0.8888888888888888
0,convert_connectives_to_dummy,逆接・譲歩,0.8333333333333334,0.6097560975609756,0.704225352112676,0.704225352112676
1,convert_connectives_to_dummy,同時進行,0.8770491803278688,0.963963963963964,0.9184549356223176,0.9184549356223176
2,convert_connectives_to_dummy,時間,0.5,0.5,0.5,0.5
3,convert_connectives_to_dummy,場所,0.5,0.5,0.5,0.5
4,convert_connectives_to_dummy,その他,0.8,0.8,0.8,0.8
0,convert_connectives_to_dummy,逆接・譲歩,0.8387096774193549,0.6341463414634146,0.7222222222222222,0.7222222222222222
1,convert_connectives_to_dummy,同時進行,0.864,0.972972972972973,0.9152542372881356,0.9152542372881356
2,convert_connectives_to_dummy,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,convert_connectives_to_dummy,場所,0.6666666666666666,1.0,0.8,0.8
4,convert_connectives_to_dummy,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,convert_connectives_to_dummy,逆接・譲歩,0.9047619047619048,0.4634146341463415,0.6129032258064516,0.6129032258064516
1,convert_connectives_to_dummy,同時進行,0.8257575757575758,0.9819819819819819,0.897119341563786,0.897119341563786
2,convert_connectives_to_dummy,時間,0.5,1.0,0.6666666666666666,0.6666666666666666
3,convert_connectives_to_dummy,場所,0.75,0.75,0.75,0.75
4,convert_connectives_to_dummy,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,convert_connectives_to_dummy,逆接・譲歩,0.7878787878787878,0.6341463414634146,0.7027027027027027,0.7027027027027027
1,convert_connectives_to_dummy,同時進行,0.8699186991869918,0.963963963963964,0.9145299145299145,0.9145299145299145
2,convert_connectives_to_dummy,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,convert_connectives_to_dummy,場所,0.5714285714285714,1.0,0.7272727272727273,0.7272727272727273
4,convert_connectives_to_dummy,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,convert_connectives_to_dummy,逆接・譲歩,0.8235294117647058,0.6829268292682927,0.7466666666666667,0.7466666666666667
1,convert_connectives_to_dummy,同時進行,0.8916666666666667,0.963963963963964,0.9264069264069265,0.9264069264069265
2,convert_connectives_to_dummy,時間,0.6666666666666666,1.0,0.8,0.8
3,convert_connectives_to_dummy,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,convert_connectives_to_dummy,その他,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
0,convert_connectives_to_dummy,逆接・譲歩,0.7575757575757576,0.6097560975609756,0.6756756756756757,0.6756756756756757
1,convert_connectives_to_dummy,同時進行,0.8699186991869918,0.963963963963964,0.9145299145299145,0.9145299145299145
2,convert_connectives_to_dummy,時間,0.6666666666666666,1.0,0.8,0.8
3,convert_connectives_to_dummy,場所,0.75,0.75,0.75,0.75
4,convert_connectives_to_dummy,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,convert_connectives_to_dummy,逆接・譲歩,0.8148148148148148,0.5365853658536586,0.6470588235294118,0.6470588235294118
1,convert_connectives_to_dummy,同時進行,0.84251968503937,0.963963963963964,0.8991596638655462,0.8991596638655462
2,convert_connectives_to_dummy,時間,0.6666666666666666,1.0,0.8,0.8
3,convert_connectives_to_dummy,場所,0.75,0.75,0.75,0.75
4,convert_connectives_to_dummy,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,convert_connectives_to_dummy,逆接・譲歩,0.7631578947368421,0.7073170731707317,0.7341772151898734,0.7341772151898734
1,convert_connectives_to_dummy,同時進行,0.8842975206611571,0.963963963963964,0.9224137931034483,0.9224137931034483
2,convert_connectives_to_dummy,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,convert_connectives_to_dummy,場所,0.75,0.75,0.75,0.75
4,convert_connectives_to_dummy,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
