,label,metric,mean,ci_lower,ci_upper
0,逆接・譲歩,test/acc,0.5285882648888526,0.5000991716132259,0.5570773581644792
1,逆接・譲歩,test/precision,0.6494539219548643,0.6154385742509879,0.6834692696587407
2,逆接・譲歩,test/recall,0.4512195121951219,0.4094080888677474,0.49303093552249644
3,逆接・譲歩,test/f1,0.5285882648888526,0.5000991716132259,0.5570773581644792
4,その他,test/acc,0.4147019647019647,0.347289600310795,0.4821143290931344
5,その他,test/precision,0.8916666666666666,0.7832025360133683,1.000130797319965
6,その他,test/recall,0.27999999999999997,0.22596752176951776,0.3340324782304822
7,その他,test/f1,0.4147019647019647,0.347289600310795,0.4821143290931344
8,場所,test/acc,0.5,0.41637657136789064,0.5836234286321094
9,場所,test/precision,0.4408333333333333,0.3616071782314353,0.5200594884352313
10,場所,test/recall,0.6,0.4760409935390877,0.7239590064609123
11,場所,test/f1,0.5,0.41637657136789064,0.5836234286321094
12,同時進行,test/acc,0.8730365376999643,0.8656735922347302,0.8803994831651983
13,同時進行,test/precision,0.8095591327176062,0.7995352362621226,0.8195830291730897
14,同時進行,test/recall,0.9477477477477478,0.935824144035791,0.9596713514597047
15,同時進行,test/f1,0.8730365376999643,0.8656735922347302,0.8803994831651983
16,時間,test/acc,0.25,0.05813030368245911,0.4418696963175409
17,時間,test/precision,,,
18,時間,test/recall,0.2,0.0481818425742008,0.35181815742579925
19,時間,test/f1,0.25,0.05813030368245911,0.4418696963175409
