,label,metric,mean,ci_lower,ci_upper
0,同時進行,test/acc,0.881817806718367,0.8767263864012996,0.8869092270354343
1,同時進行,test/precision,0.8261957643025427,0.8107313148659189,0.8416602137391666
2,同時進行,test/recall,0.946846846846847,0.93262200453924,0.9610716891544538
3,同時進行,test/f1,0.881817806718367,0.8767263864012996,0.8869092270354343
4,時間,test/acc,0.33904761904761904,0.22313741427376804,0.45495782382147004
5,時間,test/precision,,,
6,時間,test/recall,0.5,0.3040036015459946,0.6959963984540054
7,時間,test/f1,0.33904761904761904,0.22313741427376804,0.45495782382147004
8,逆接・譲歩,test/acc,0.5215960148372843,0.4871746448356354,0.5560173848389333
9,逆接・譲歩,test/precision,0.6381263508611142,0.6013264418766117,0.6749262598456168
10,逆接・譲歩,test/recall,0.4512195121951219,0.39702993055589575,0.5054090938343481
11,逆接・譲歩,test/f1,0.5215960148372843,0.4871746448356354,0.5560173848389333
12,その他,test/acc,0.27596491228070175,0.1578939912255194,0.3940358333358841
13,その他,test/precision,,,
14,その他,test/recall,0.21000000000000002,0.11219799356082531,0.3078020064391747
15,その他,test/f1,0.27596491228070175,0.1578939912255194,0.3940358333358841
16,場所,test/acc,0.5333333333333333,0.44562698963519404,0.6210396770314726
17,場所,test/precision,0.6175,0.4480381883831891,0.786961811616811
18,場所,test/recall,0.55,0.4340469669545922,0.6659530330454079
19,場所,test/f1,0.5333333333333333,0.44562698963519404,0.6210396770314726
