,label,metric,mean,ci_lower,ci_upper
0,時間,test/acc,0.27380952380952384,0.12141153681021494,0.42620751080883273
1,時間,test/precision,,,
2,時間,test/recall,0.45,0.19257978972704248,0.7074202102729575
3,時間,test/f1,0.27380952380952384,0.12141153681021494,0.42620751080883273
4,同時進行,test/acc,0.9084006234468562,0.8976817632873144,0.9191194836063981
5,同時進行,test/precision,0.8591120347881505,0.8382039631419067,0.8800201064343942
6,同時進行,test/recall,0.9648648648648651,0.956792546991732,0.9729371827379982
7,同時進行,test/f1,0.9084006234468562,0.8976817632873144,0.9191194836063981
8,場所,test/acc,0.3978421578421578,0.32708377107499464,0.468600544609321
9,場所,test/precision,0.4628571428571429,0.32470238631089127,0.6010118994033946
10,場所,test/recall,0.425,0.30398115124536856,0.5460188487546314
11,場所,test/f1,0.3978421578421578,0.32708377107499464,0.468600544609321
12,その他,test/acc,0.43996336996337,0.3670708524441504,0.5128558874825896
13,その他,test/precision,0.9466666666666667,0.8780212772605447,1.0153120560727886
14,その他,test/recall,0.29999999999999993,0.23210485595542962,0.36789514404457024
15,その他,test/f1,0.43996336996337,0.3670708524441504,0.5128558874825896
16,逆接・譲歩,test/acc,0.6549177883908744,0.6293772458990098,0.6804583308827391
17,逆接・譲歩,test/precision,0.7428869018916227,0.7185017048098268,0.7672720989734185
18,逆接・譲歩,test/recall,0.5902439024390244,0.5486791563283914,0.6318086485496573
19,逆接・譲歩,test/f1,0.6549177883908744,0.6293772458990098,0.6804583308827391
