,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_connectives,逆接・譲歩,0.7575757575757576,0.6097560975609756,0.6756756756756757,0.6756756756756757
1,exclude_connectives,同時進行,0.8770491803278688,0.963963963963964,0.9184549356223176,0.9184549356223176
2,exclude_connectives,時間,0.25,0.5,0.3333333333333333,0.3333333333333333
3,exclude_connectives,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,exclude_connectives,その他,0.6666666666666666,0.4,0.5,0.5
0,exclude_connectives,逆接・譲歩,0.7297297297297297,0.6585365853658537,0.6923076923076923,0.6923076923076923
1,exclude_connectives,同時進行,0.8699186991869918,0.963963963963964,0.9145299145299145,0.9145299145299145
2,exclude_connectives,時間,0.25,0.5,0.3333333333333333,0.3333333333333333
3,exclude_connectives,場所,1.0,0.25,0.4,0.4
4,exclude_connectives,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,exclude_connectives,逆接・譲歩,0.7073170731707317,0.7073170731707317,0.7073170731707317,0.7073170731707317
1,exclude_connectives,同時進行,0.8956521739130435,0.9279279279279279,0.911504424778761,0.911504424778761
2,exclude_connectives,時間,0.4,1.0,0.5714285714285714,0.5714285714285714
3,exclude_connectives,場所,0.2,0.25,0.2222222222222222,0.2222222222222222
4,exclude_connectives,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,exclude_connectives,逆接・譲歩,0.8,0.5853658536585366,0.676056338028169,0.676056338028169
1,exclude_connectives,同時進行,0.864,0.972972972972973,0.9152542372881356,0.9152542372881356
2,exclude_connectives,時間,,0.0,0.0,0.0
3,exclude_connectives,場所,0.3333333333333333,0.75,0.46153846153846156,0.46153846153846156
4,exclude_connectives,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,exclude_connectives,逆接・譲歩,0.7142857142857143,0.4878048780487805,0.5797101449275363,0.5797101449275363
1,exclude_connectives,同時進行,0.7941176470588235,0.972972972972973,0.8744939271255061,0.8744939271255061
2,exclude_connectives,時間,,0.0,0.0,0.0
3,exclude_connectives,場所,0.5,0.25,0.3333333333333333,0.3333333333333333
4,exclude_connectives,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,exclude_connectives,逆接・譲歩,0.6944444444444444,0.6097560975609756,0.6493506493506493,0.6493506493506493
1,exclude_connectives,同時進行,0.8842975206611571,0.963963963963964,0.9224137931034483,0.9224137931034483
2,exclude_connectives,時間,0.25,0.5,0.3333333333333333,0.3333333333333333
3,exclude_connectives,場所,0.4,0.5,0.4444444444444444,0.4444444444444444
4,exclude_connectives,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,exclude_connectives,逆接・譲歩,0.7222222222222222,0.6341463414634146,0.6753246753246753,0.6753246753246753
1,exclude_connectives,同時進行,0.8699186991869918,0.963963963963964,0.9145299145299145,0.9145299145299145
2,exclude_connectives,時間,,0.0,0.0,0.0
3,exclude_connectives,場所,0.42857142857142855,0.75,0.5454545454545454,0.5454545454545454
4,exclude_connectives,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,exclude_connectives,逆接・譲歩,0.7142857142857143,0.4878048780487805,0.5797101449275363,0.5797101449275363
1,exclude_connectives,同時進行,0.7941176470588235,0.972972972972973,0.8744939271255061,0.8744939271255061
2,exclude_connectives,時間,,0.0,0.0,0.0
3,exclude_connectives,場所,0.5,0.25,0.3333333333333333,0.3333333333333333
4,exclude_connectives,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,exclude_connectives,逆接・譲歩,0.7741935483870968,0.5853658536585366,0.6666666666666666,0.6666666666666666
1,exclude_connectives,同時進行,0.8780487804878049,0.972972972972973,0.9230769230769231,0.9230769230769231
2,exclude_connectives,時間,0.5,1.0,0.6666666666666666,0.6666666666666666
3,exclude_connectives,場所,0.4,0.5,0.4444444444444444,0.4444444444444444
4,exclude_connectives,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,exclude_connectives,逆接・譲歩,0.8148148148148148,0.5365853658536586,0.6470588235294118,0.6470588235294118
1,exclude_connectives,同時進行,0.864,0.972972972972973,0.9152542372881356,0.9152542372881356
2,exclude_connectives,時間,0.3333333333333333,1.0,0.5,0.5
3,exclude_connectives,場所,0.2,0.25,0.2222222222222222,0.2222222222222222
4,exclude_connectives,その他,0.8,0.4,0.5333333333333333,0.5333333333333333
