,label,metric,mean,ci_lower,ci_upper
0,逆接・譲歩,test/acc,0.5707804319861157,0.5452556055338171,0.5963052584384143
1,逆接・譲歩,test/precision,0.6652630180786226,0.633764372802516,0.6967616633547293
2,逆接・譲歩,test/recall,0.5073170731707317,0.46257498107799144,0.552059165263472
3,逆接・譲歩,test/f1,0.5707804319861157,0.5452556055338171,0.5963052584384143
4,時間,test/acc,0.4933333333333333,0.27551165231156033,0.7111550143551062
5,時間,test/precision,,,
6,時間,test/recall,0.5,0.2599544161822345,0.7400455838177655
7,時間,test/f1,0.4933333333333333,0.27551165231156033,0.7111550143551062
8,同時進行,test/acc,0.8642245934528425,0.8570699168057174,0.8713792700999676
9,同時進行,test/precision,0.8062486938121719,0.7945019738149162,0.8179954138094276
10,同時進行,test/recall,0.9324324324324325,0.9138712238468883,0.9509936410179766
11,同時進行,test/f1,0.8642245934528425,0.8570699168057174,0.8713792700999676
12,その他,test/acc,0.3200174825174825,0.27109165038928884,0.3689433146456762
13,その他,test/precision,0.95,0.8570307451543158,1.0429692548456841
14,その他,test/recall,0.20000000000000004,0.16080072030919895,0.23919927969080113
15,その他,test/f1,0.3200174825174825,0.27109165038928884,0.3689433146456762
16,場所,test/acc,0.40345598845598846,0.32818790318159186,0.47872407373038506
17,場所,test/precision,0.45738095238095233,0.32197055595934926,0.5927913488025554
18,場所,test/recall,0.425,0.30398115124536856,0.5460188487546314
19,場所,test/f1,0.40345598845598846,0.32818790318159186,0.47872407373038506
