,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_content_words,逆接・譲歩,0.696969696969697,0.5609756097560976,0.6216216216216216,0.6216216216216216
1,exclude_content_words,同時進行,0.8267716535433071,0.9459459459459459,0.8823529411764706,0.8823529411764706
2,exclude_content_words,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_content_words,場所,0.4,0.5,0.4444444444444444,0.4444444444444444
4,exclude_content_words,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,exclude_content_words,逆接・譲歩,0.574468085106383,0.6585365853658537,0.6136363636363636,0.6136363636363636
1,exclude_content_words,同時進行,0.8333333333333334,0.8558558558558559,0.8444444444444444,0.8444444444444444
2,exclude_content_words,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_content_words,場所,0.5,0.25,0.3333333333333333,0.3333333333333333
4,exclude_content_words,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,exclude_content_words,逆接・譲歩,0.6470588235294118,0.5365853658536586,0.5866666666666667,0.5866666666666667
1,exclude_content_words,同時進行,0.8267716535433071,0.9459459459459459,0.8823529411764706,0.8823529411764706
2,exclude_content_words,時間,1.0,1.0,1.0,1.0
3,exclude_content_words,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,exclude_content_words,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,exclude_content_words,逆接・譲歩,0.6176470588235294,0.5121951219512195,0.56,0.56
1,exclude_content_words,同時進行,0.796875,0.918918918918919,0.8535564853556485,0.8535564853556485
2,exclude_content_words,時間,,0.0,0.0,0.0
3,exclude_content_words,場所,0.25,0.25,0.25,0.25
4,exclude_content_words,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,exclude_content_words,逆接・譲歩,0.7692307692307693,0.4878048780487805,0.5970149253731343,0.5970149253731343
1,exclude_content_words,同時進行,0.8015267175572519,0.9459459459459459,0.8677685950413223,0.8677685950413223
2,exclude_content_words,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_content_words,場所,0.42857142857142855,0.75,0.5454545454545454,0.5454545454545454
4,exclude_content_words,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,exclude_content_words,逆接・譲歩,0.6875,0.5365853658536586,0.6027397260273972,0.6027397260273972
1,exclude_content_words,同時進行,0.8174603174603174,0.9279279279279279,0.869198312236287,0.869198312236287
2,exclude_content_words,時間,0.5,0.5,0.5,0.5
3,exclude_content_words,場所,0.42857142857142855,0.75,0.5454545454545454,0.5454545454545454
4,exclude_content_words,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,exclude_content_words,逆接・譲歩,0.64,0.3902439024390244,0.48484848484848486,0.48484848484848486
1,exclude_content_words,同時進行,0.7737226277372263,0.954954954954955,0.8548387096774194,0.8548387096774194
2,exclude_content_words,時間,,0.0,0.0,0.0
3,exclude_content_words,場所,0.25,0.25,0.25,0.25
4,exclude_content_words,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,exclude_content_words,逆接・譲歩,0.6551724137931034,0.4634146341463415,0.5428571428571428,0.5428571428571428
1,exclude_content_words,同時進行,0.8095238095238095,0.918918918918919,0.8607594936708861,0.8607594936708861
2,exclude_content_words,時間,0.5,0.5,0.5,0.5
3,exclude_content_words,場所,0.4,0.5,0.4444444444444444,0.4444444444444444
4,exclude_content_words,その他,0.5,0.3,0.375,0.375
0,exclude_content_words,逆接・譲歩,0.65625,0.5121951219512195,0.5753424657534246,0.5753424657534246
1,exclude_content_words,同時進行,0.7938931297709924,0.9369369369369369,0.859504132231405,0.859504132231405
2,exclude_content_words,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_content_words,場所,1.0,0.25,0.4,0.4
4,exclude_content_words,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,exclude_content_words,逆接・譲歩,0.7083333333333334,0.4146341463414634,0.5230769230769231,0.5230769230769231
1,exclude_content_words,同時進行,0.782608695652174,0.972972972972973,0.8674698795180723,0.8674698795180723
2,exclude_content_words,時間,,0.0,0.0,0.0
3,exclude_content_words,場所,0.25,0.25,0.25,0.25
4,exclude_content_words,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
