,label,metric,mean,ci_lower,ci_upper
0,場所,test/acc,0.5596536796536797,0.40944432613138204,0.7098630331759774
1,場所,test/precision,,,
2,場所,test/recall,0.675,0.491008544064223,0.8589914559357771
3,場所,test/f1,0.5596536796536797,0.40944432613138204,0.7098630331759774
4,逆接・譲歩,test/acc,0.49043257190316253,0.4397693746976038,0.5410957691087213
5,逆接・譲歩,test/precision,0.5693859854426204,0.5312820430851788,0.6074899278000621
6,逆接・譲歩,test/recall,0.4414634146341463,0.3768130338701743,0.5061137953981183
7,逆接・譲歩,test/f1,0.49043257190316253,0.4397693746976038,0.5410957691087213
8,その他,test/acc,0.13005494505494503,0.05585412120546916,0.20425576890442088
9,その他,test/precision,,,
10,その他,test/recall,0.1,0.03802049676954385,0.16197950323045615
11,その他,test/f1,0.13005494505494503,0.05585412120546916,0.20425576890442088
12,同時進行,test/acc,0.864258527629181,0.8502483642442845,0.8782686910140775
13,同時進行,test/precision,0.8150228376595081,0.7913044765813608,0.8387411987376554
14,同時進行,test/recall,0.9234234234234234,0.8948152739594091,0.9520315728874378
15,同時進行,test/f1,0.864258527629181,0.8502483642442845,0.8782686910140775
16,時間,test/acc,0.3785714285714285,0.20465753042465637,0.5524853267182006
17,時間,test/precision,,,
18,時間,test/recall,0.35,0.20798711745533732,0.49201288254466263
19,時間,test/f1,0.3785714285714285,0.20465753042465637,0.5524853267182006
