,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_function_words,逆接・譲歩,0.5333333333333333,0.3902439024390244,0.4507042253521127,0.4507042253521127
1,exclude_function_words,同時進行,0.7681159420289855,0.954954954954955,0.8514056224899599,0.8514056224899599
2,exclude_function_words,時間,,0.0,0.0,0.0
3,exclude_function_words,場所,,0.0,0.0,0.0
4,exclude_function_words,その他,,0.0,0.0,0.0
0,exclude_function_words,逆接・譲歩,0.59375,0.4634146341463415,0.5205479452054794,0.5205479452054794
1,exclude_function_words,同時進行,0.824,0.9279279279279279,0.8728813559322034,0.8728813559322034
2,exclude_function_words,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_function_words,場所,0.75,0.75,0.75,0.75
4,exclude_function_words,その他,0.3333333333333333,0.2,0.25,0.25
0,exclude_function_words,逆接・譲歩,0.47058823529411764,0.1951219512195122,0.27586206896551724,0.27586206896551724
1,exclude_function_words,同時進行,0.7412587412587412,0.954954954954955,0.8346456692913385,0.8346456692913385
2,exclude_function_words,時間,,0.0,0.0,0.0
3,exclude_function_words,場所,0.42857142857142855,0.75,0.5454545454545454,0.5454545454545454
4,exclude_function_words,その他,0.0,0.0,0.0,0.0
0,exclude_function_words,逆接・譲歩,0.53125,0.4146341463414634,0.4657534246575342,0.4657534246575342
1,exclude_function_words,同時進行,0.7906976744186046,0.918918918918919,0.85,0.85
2,exclude_function_words,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_function_words,場所,0.5,0.75,0.6,0.6
4,exclude_function_words,その他,,0.0,0.0,0.0
0,exclude_function_words,逆接・譲歩,0.631578947368421,0.5853658536585366,0.6075949367088608,0.6075949367088608
1,exclude_function_words,同時進行,0.8559322033898306,0.9099099099099099,0.8820960698689956,0.8820960698689956
2,exclude_function_words,時間,0.25,0.5,0.3333333333333333,0.3333333333333333
3,exclude_function_words,場所,0.25,0.25,0.25,0.25
4,exclude_function_words,その他,0.25,0.1,0.14285714285714285,0.14285714285714285
0,exclude_function_words,逆接・譲歩,0.6206896551724138,0.43902439024390244,0.5142857142857142,0.5142857142857142
1,exclude_function_words,同時進行,0.8015267175572519,0.9459459459459459,0.8677685950413223,0.8677685950413223
2,exclude_function_words,時間,0.5,0.5,0.5,0.5
3,exclude_function_words,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_function_words,その他,0.3333333333333333,0.1,0.15384615384615385,0.15384615384615385
0,exclude_function_words,逆接・譲歩,0.6538461538461539,0.4146341463414634,0.5074626865671642,0.5074626865671642
1,exclude_function_words,同時進行,0.8412698412698413,0.954954954954955,0.8945147679324894,0.8945147679324894
2,exclude_function_words,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_function_words,場所,0.5714285714285714,1.0,0.7272727272727273,0.7272727272727273
4,exclude_function_words,その他,0.375,0.3,0.3333333333333333,0.3333333333333333
0,exclude_function_words,逆接・譲歩,0.47058823529411764,0.5853658536585366,0.5217391304347826,0.5217391304347826
1,exclude_function_words,同時進行,0.8627450980392157,0.7927927927927928,0.8262910798122066,0.8262910798122066
2,exclude_function_words,時間,0.0,0.0,0.0,0.0
3,exclude_function_words,場所,0.36363636363636365,1.0,0.5333333333333333,0.5333333333333333
4,exclude_function_words,その他,0.3333333333333333,0.1,0.15384615384615385,0.15384615384615385
0,exclude_function_words,逆接・譲歩,0.6,0.43902439024390244,0.5070422535211268,0.5070422535211268
1,exclude_function_words,同時進行,0.8536585365853658,0.9459459459459459,0.8974358974358975,0.8974358974358975
2,exclude_function_words,時間,0.2,0.5,0.2857142857142857,0.2857142857142857
3,exclude_function_words,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_function_words,その他,0.4,0.2,0.26666666666666666,0.26666666666666666
0,exclude_function_words,逆接・譲歩,0.5882352941176471,0.4878048780487805,0.5333333333333333,0.5333333333333333
1,exclude_function_words,同時進行,0.8110236220472441,0.9279279279279279,0.865546218487395,0.865546218487395
2,exclude_function_words,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_function_words,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_function_words,その他,0.0,0.0,0.0,0.0
