,label,metric,mean,ci_lower,ci_upper
0,逆接・譲歩,test/acc,0.6627670375940024,0.6435208995385587,0.682013175649446
1,逆接・譲歩,test/precision,0.7577332696068793,0.7353933702519088,0.7800731689618497
2,逆接・譲歩,test/recall,0.5926829268292682,0.5595288627532694,0.6258369909052669
3,逆接・譲歩,test/f1,0.6627670375940024,0.6435208995385587,0.682013175649446
4,時間,test/acc,0.6766666666666665,0.5253977349304989,0.8279355984028341
5,時間,test/precision,0.5666666666666667,0.44270766020575436,0.6906256731275789
6,時間,test/recall,0.85,0.6515687703205093,1.0484312296794907
7,時間,test/f1,0.6766666666666665,0.5253977349304989,0.8279355984028341
8,同時進行,test/acc,0.9123002087173987,0.9091391012678589,0.9154613161669385
9,同時進行,test/precision,0.865469741329935,0.8567988846824878,0.8741405979773823
10,同時進行,test/recall,0.9648648648648648,0.9571884928354235,0.972541236894306
11,同時進行,test/f1,0.9123002087173987,0.9091391012678589,0.9154613161669385
12,その他,test/acc,0.758169934640523,0.6997463328300143,0.8165935364510316
13,その他,test/precision,1.0,,
14,その他,test/recall,0.62,0.5425876252768148,0.6974123747231852
15,その他,test/f1,0.758169934640523,0.6997463328300143,0.8165935364510316
16,場所,test/acc,0.6709523809523809,0.5611521844894605,0.7807525774153012
17,場所,test/precision,0.8266666666666665,0.7114336737485529,0.9418996595847802
18,場所,test/recall,0.6,0.4760409935390877,0.7239590064609123
19,場所,test/f1,0.6709523809523809,0.5611521844894605,0.7807525774153012
