,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_ha_and_ga,逆接・譲歩,0.7428571428571429,0.6341463414634146,0.6842105263157895,0.6842105263157895
1,exclude_ha_and_ga,同時進行,0.8760330578512396,0.954954954954955,0.9137931034482759,0.9137931034482759
2,exclude_ha_and_ga,時間,0.5,0.5,0.5,0.5
3,exclude_ha_and_ga,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_ha_and_ga,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,exclude_ha_and_ga,逆接・譲歩,0.7222222222222222,0.6341463414634146,0.6753246753246753,0.6753246753246753
1,exclude_ha_and_ga,同時進行,0.8770491803278688,0.963963963963964,0.9184549356223176,0.9184549356223176
2,exclude_ha_and_ga,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_ha_and_ga,場所,0.5,0.25,0.3333333333333333,0.3333333333333333
4,exclude_ha_and_ga,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,exclude_ha_and_ga,逆接・譲歩,0.8214285714285714,0.5609756097560976,0.6666666666666666,0.6666666666666666
1,exclude_ha_and_ga,同時進行,0.8571428571428571,0.972972972972973,0.9113924050632911,0.9113924050632911
2,exclude_ha_and_ga,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_ha_and_ga,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_ha_and_ga,その他,1.0,0.8,0.8888888888888888,0.8888888888888888
0,exclude_ha_and_ga,逆接・譲歩,0.7586206896551724,0.5365853658536586,0.6285714285714286,0.6285714285714286
1,exclude_ha_and_ga,同時進行,0.8503937007874016,0.972972972972973,0.907563025210084,0.907563025210084
2,exclude_ha_and_ga,時間,0.5,1.0,0.6666666666666666,0.6666666666666666
3,exclude_ha_and_ga,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,exclude_ha_and_ga,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,exclude_ha_and_ga,逆接・譲歩,0.7297297297297297,0.6585365853658537,0.6923076923076923,0.6923076923076923
1,exclude_ha_and_ga,同時進行,0.8833333333333333,0.954954954954955,0.9177489177489178,0.9177489177489178
2,exclude_ha_and_ga,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_ha_and_ga,場所,1.0,0.25,0.4,0.4
4,exclude_ha_and_ga,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,exclude_ha_and_ga,逆接・譲歩,0.71875,0.5609756097560976,0.6301369863013698,0.6301369863013698
1,exclude_ha_and_ga,同時進行,0.8571428571428571,0.972972972972973,0.9113924050632911,0.9113924050632911
2,exclude_ha_and_ga,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_ha_and_ga,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,exclude_ha_and_ga,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,exclude_ha_and_ga,逆接・譲歩,0.75,0.6585365853658537,0.7012987012987013,0.7012987012987013
1,exclude_ha_and_ga,同時進行,0.8833333333333333,0.954954954954955,0.9177489177489178,0.9177489177489178
2,exclude_ha_and_ga,時間,0.0,0.0,0.0,0.0
3,exclude_ha_and_ga,場所,0.75,0.75,0.75,0.75
4,exclude_ha_and_ga,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,exclude_ha_and_ga,逆接・譲歩,0.7272727272727273,0.5853658536585366,0.6486486486486487,0.6486486486486487
1,exclude_ha_and_ga,同時進行,0.860655737704918,0.9459459459459459,0.9012875536480687,0.9012875536480687
2,exclude_ha_and_ga,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_ha_and_ga,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_ha_and_ga,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,exclude_ha_and_ga,逆接・譲歩,0.8064516129032258,0.6097560975609756,0.6944444444444444,0.6944444444444444
1,exclude_ha_and_ga,同時進行,0.8699186991869918,0.963963963963964,0.9145299145299145,0.9145299145299145
2,exclude_ha_and_ga,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_ha_and_ga,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_ha_and_ga,その他,1.0,0.8,0.8888888888888888,0.8888888888888888
0,exclude_ha_and_ga,逆接・譲歩,0.8,0.4878048780487805,0.6060606060606061,0.6060606060606061
1,exclude_ha_and_ga,同時進行,0.8396946564885496,0.990990990990991,0.9090909090909091,0.9090909090909091
2,exclude_ha_and_ga,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_ha_and_ga,場所,0.75,0.75,0.75,0.75
4,exclude_ha_and_ga,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
