,label,metric,mean,ci_lower,ci_upper
0,時間,test/acc,0.7238095238095237,0.6294106934719969,0.8182083541470505
1,時間,test/precision,0.6733333333333335,0.557638260636482,0.7890284060301849
2,時間,test/recall,0.85,0.7079871174553374,0.9920128825446626
3,時間,test/f1,0.7238095238095237,0.6294106934719969,0.8182083541470505
4,逆接・譲歩,test/acc,0.7018681064121693,0.6793593723976715,0.7243768404266672
5,逆接・譲歩,test/precision,0.7605378924386713,0.7365359206186379,0.7845398642587047
6,逆接・譲歩,test/recall,0.6536585365853658,0.6228258832765967,0.6844911898941348
7,逆接・譲歩,test/f1,0.7018681064121693,0.6793593723976715,0.7243768404266672
8,場所,test/acc,0.7602380952380952,0.6757560950032535,0.8447200954729368
9,場所,test/precision,0.925,0.8539935587276687,0.9960064412723314
10,場所,test/recall,0.675,0.5757843851602547,0.7742156148397454
11,場所,test/f1,0.7602380952380952,0.6757560950032535,0.8447200954729368
12,同時進行,test/acc,0.91604944734932,0.9108631859653603,0.9212357087332798
13,同時進行,test/precision,0.8781879039846132,0.8678006641464353,0.8885751438227911
14,同時進行,test/recall,0.9576576576576576,0.9510273349212333,0.964287980394082
15,同時進行,test/f1,0.91604944734932,0.9108631859653603,0.9212357087332798
16,その他,test/acc,0.7166136967607557,0.6328017668074191,0.8004256267140923
17,その他,test/precision,0.9833333333333334,0.9523435817181053,1.0143230849485614
18,その他,test/recall,0.58,0.4808327948312701,0.6791672051687299
19,その他,test/f1,0.7166136967607557,0.6328017668074191,0.8004256267140923
