,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_koso,逆接・譲歩,0.7222222222222222,0.6341463414634146,0.6753246753246753,0.6753246753246753
1,exclude_koso,同時進行,0.8688524590163934,0.954954954954955,0.9098712446351931,0.9098712446351931
2,exclude_koso,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_koso,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_koso,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,exclude_koso,逆接・譲歩,0.6857142857142857,0.5853658536585366,0.631578947368421,0.631578947368421
1,exclude_koso,同時進行,0.8548387096774194,0.954954954954955,0.902127659574468,0.902127659574468
2,exclude_koso,時間,1.0,1.0,1.0,1.0
3,exclude_koso,場所,1.0,0.25,0.4,0.4
4,exclude_koso,その他,0.8333333333333334,0.5,0.625,0.625
0,exclude_koso,逆接・譲歩,0.7631578947368421,0.7073170731707317,0.7341772151898734,0.7341772151898734
1,exclude_koso,同時進行,0.8983050847457628,0.954954954954955,0.925764192139738,0.925764192139738
2,exclude_koso,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_koso,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_koso,その他,1.0,0.6,0.75,0.75
0,exclude_koso,逆接・譲歩,0.75,0.6585365853658537,0.7012987012987013,0.7012987012987013
1,exclude_koso,同時進行,0.8780487804878049,0.972972972972973,0.9230769230769231,0.9230769230769231
2,exclude_koso,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_koso,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_koso,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,exclude_koso,逆接・譲歩,0.7741935483870968,0.5853658536585366,0.6666666666666666,0.6666666666666666
1,exclude_koso,同時進行,0.8571428571428571,0.972972972972973,0.9113924050632911,0.9113924050632911
2,exclude_koso,時間,0.5,0.5,0.5,0.5
3,exclude_koso,場所,0.75,0.75,0.75,0.75
4,exclude_koso,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,exclude_koso,逆接・譲歩,0.8,0.5853658536585366,0.676056338028169,0.676056338028169
1,exclude_koso,同時進行,0.856,0.963963963963964,0.9067796610169492,0.9067796610169492
2,exclude_koso,時間,0.5,0.5,0.5,0.5
3,exclude_koso,場所,0.75,0.75,0.75,0.75
4,exclude_koso,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,exclude_koso,逆接・譲歩,0.7837837837837838,0.7073170731707317,0.7435897435897436,0.7435897435897436
1,exclude_koso,同時進行,0.8983050847457628,0.954954954954955,0.925764192139738,0.925764192139738
2,exclude_koso,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_koso,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_koso,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,exclude_koso,逆接・譲歩,0.8235294117647058,0.6829268292682927,0.7466666666666667,0.7466666666666667
1,exclude_koso,同時進行,0.8916666666666667,0.963963963963964,0.9264069264069265,0.9264069264069265
2,exclude_koso,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_koso,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_koso,その他,1.0,0.8,0.8888888888888888,0.8888888888888888
0,exclude_koso,逆接・譲歩,0.725,0.7073170731707317,0.7160493827160493,0.7160493827160493
1,exclude_koso,同時進行,0.8898305084745762,0.9459459459459459,0.9170305676855895,0.9170305676855895
2,exclude_koso,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_koso,場所,0.75,0.75,0.75,0.75
4,exclude_koso,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,exclude_koso,逆接・譲歩,0.7777777777777778,0.6829268292682927,0.7272727272727273,0.7272727272727273
1,exclude_koso,同時進行,0.8888888888888888,0.9369369369369369,0.9122807017543859,0.9122807017543859
2,exclude_koso,時間,0.4,1.0,0.5714285714285714,0.5714285714285714
3,exclude_koso,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,exclude_koso,その他,1.0,0.8,0.8888888888888888,0.8888888888888888
