,label,metric,mean,ci_lower,ci_upper
0,その他,test/acc,0.6102878330819507,0.5447794216325949,0.6757962445313065
1,その他,test/precision,0.8779761904761905,0.793892709146521,0.9620596718058599
2,その他,test/recall,0.48,0.41324603208793365,0.5467539679120663
3,その他,test/f1,0.6102878330819507,0.5447794216325949,0.6757962445313065
4,場所,test/acc,0.7734126984126986,0.7154346168394059,0.8313907799859912
5,場所,test/precision,0.9149999999999998,0.8295109632387252,1.0004890367612744
6,場所,test/recall,0.7,0.6070307451543158,0.7929692548456841
7,場所,test/f1,0.7734126984126986,0.7154346168394059,0.8313907799859912
8,時間,test/acc,0.7066666666666667,0.5586061216067899,0.8547272117265434
9,時間,test/precision,,,
10,時間,test/recall,0.9,0.7140614903086315,1.0859385096913685
11,時間,test/f1,0.7066666666666667,0.5586061216067899,0.8547272117265434
12,同時進行,test/acc,0.9122363802343679,0.9062829920480073,0.9181897684207285
13,同時進行,test/precision,0.8635845561338709,0.8487400995457817,0.8784290127219601
14,同時進行,test/recall,0.9675675675675676,0.9575168373139801,0.9776182978211551
15,同時進行,test/f1,0.9122363802343679,0.9062829920480073,0.9181897684207285
16,逆接・譲歩,test/acc,0.6493765995008367,0.6134580595003652,0.6852951395013082
17,逆接・譲歩,test/precision,0.7491016872657336,0.7239775366906093,0.7742258378408579
18,逆接・譲歩,test/recall,0.580487804878049,0.5248212839951095,0.6361543257609884
19,逆接・譲歩,test/f1,0.6493765995008367,0.6134580595003652,0.6852951395013082
