,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_mo,逆接・譲歩,0.7837837837837838,0.7073170731707317,0.7435897435897436,0.7435897435897436
1,exclude_mo,同時進行,0.8916666666666667,0.963963963963964,0.9264069264069265,0.9264069264069265
2,exclude_mo,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_mo,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_mo,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,exclude_mo,逆接・譲歩,0.8148148148148148,0.5365853658536586,0.6470588235294118,0.6470588235294118
1,exclude_mo,同時進行,0.8449612403100775,0.9819819819819819,0.9083333333333333,0.9083333333333333
2,exclude_mo,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_mo,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_mo,その他,1.0,0.6,0.75,0.75
0,exclude_mo,逆接・譲歩,0.6842105263157895,0.6341463414634146,0.6582278481012658,0.6582278481012658
1,exclude_mo,同時進行,0.8677685950413223,0.9459459459459459,0.9051724137931034,0.9051724137931034
2,exclude_mo,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_mo,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_mo,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,exclude_mo,逆接・譲歩,0.7142857142857143,0.6097560975609756,0.6578947368421053,0.6578947368421053
1,exclude_mo,同時進行,0.8709677419354839,0.972972972972973,0.9191489361702128,0.9191489361702128
2,exclude_mo,時間,,0.0,0.0,0.0
3,exclude_mo,場所,0.8,1.0,0.8888888888888888,0.8888888888888888
4,exclude_mo,その他,0.75,0.3,0.42857142857142855,0.42857142857142855
0,exclude_mo,逆接・譲歩,0.7083333333333334,0.4146341463414634,0.5230769230769231,0.5230769230769231
1,exclude_mo,同時進行,0.8307692307692308,0.972972972972973,0.8962655601659751,0.8962655601659751
2,exclude_mo,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_mo,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_mo,その他,0.625,0.5,0.5555555555555556,0.5555555555555556
0,exclude_mo,逆接・譲歩,0.7647058823529411,0.6341463414634146,0.6933333333333334,0.6933333333333334
1,exclude_mo,同時進行,0.8688524590163934,0.954954954954955,0.9098712446351931,0.9098712446351931
2,exclude_mo,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_mo,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,exclude_mo,その他,0.8571428571428571,0.6,0.7058823529411765,0.7058823529411765
0,exclude_mo,逆接・譲歩,0.7073170731707317,0.7073170731707317,0.7073170731707317,0.7073170731707317
1,exclude_mo,同時進行,0.9122807017543859,0.9369369369369369,0.9244444444444444,0.9244444444444444
2,exclude_mo,時間,0.5,1.0,0.6666666666666666,0.6666666666666666
3,exclude_mo,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_mo,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,exclude_mo,逆接・譲歩,0.7857142857142857,0.5365853658536586,0.6376811594202898,0.6376811594202898
1,exclude_mo,同時進行,0.859375,0.990990990990991,0.9205020920502092,0.9205020920502092
2,exclude_mo,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_mo,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,exclude_mo,その他,0.7142857142857143,0.5,0.5882352941176471,0.5882352941176471
0,exclude_mo,逆接・譲歩,0.7692307692307693,0.4878048780487805,0.5970149253731343,0.5970149253731343
1,exclude_mo,同時進行,0.8320610687022901,0.9819819819819819,0.9008264462809917,0.9008264462809917
2,exclude_mo,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_mo,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,exclude_mo,その他,0.8333333333333334,0.5,0.625,0.625
0,exclude_mo,逆接・譲歩,0.7586206896551724,0.5365853658536586,0.6285714285714286,0.6285714285714286
1,exclude_mo,同時進行,0.8571428571428571,0.972972972972973,0.9113924050632911,0.9113924050632911
2,exclude_mo,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_mo,場所,0.75,0.75,0.75,0.75
4,exclude_mo,その他,1.0,0.6,0.75,0.75
