,label,metric,mean,ci_lower,ci_upper
0,同時進行,test/acc,0.9133353997831712,0.9070375580122795,0.919633241554063
1,同時進行,test/precision,0.8625098024006468,0.847787501709564,0.8772321030917296
2,同時進行,test/recall,0.9711711711711711,0.9651573001881021,0.9771850421542402
3,同時進行,test/f1,0.9133353997831712,0.9070375580122795,0.919633241554063
4,場所,test/acc,0.809126984126984,0.7658865517959889,0.8523674164579792
5,場所,test/precision,0.8649999999999999,0.7762047623491287,0.953795237650871
6,場所,test/recall,0.775,0.7285153725771579,0.8214846274228421
7,場所,test/f1,0.809126984126984,0.7658865517959889,0.8523674164579792
8,逆接・譲歩,test/acc,0.6707248542499026,0.6345483922725714,0.7069013162272337
9,逆接・譲歩,test/precision,0.8148996296088151,0.7971629138676776,0.8326363453499527
10,逆接・譲歩,test/recall,0.5756097560975609,0.520190094616717,0.6310294175784049
11,逆接・譲歩,test/f1,0.6707248542499026,0.6345483922725714,0.7069013162272337
12,その他,test/acc,0.7963020295837633,0.764671815661094,0.8279322435064326
13,その他,test/precision,0.9496031746031747,0.9110932776444529,0.9881130715618964
14,その他,test/recall,0.6900000000000001,0.6466143477386808,0.7333856522613194
15,その他,test/f1,0.7963020295837633,0.764671815661094,0.8279322435064326
16,時間,test/acc,0.6938095238095238,0.6045808845699265,0.783038163049121
17,時間,test/precision,0.6233333333333333,0.5155650146991823,0.7311016519674843
18,時間,test/recall,0.85,0.7079871174553373,0.9920128825446627
19,時間,test/f1,0.6938095238095238,0.6045808845699265,0.783038163049121
