,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_negation,逆接・譲歩,0.8333333333333334,0.4878048780487805,0.6153846153846154,0.6153846153846154
1,exclude_negation,同時進行,0.8449612403100775,0.9819819819819819,0.9083333333333333,0.9083333333333333
2,exclude_negation,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_negation,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,exclude_negation,その他,0.8571428571428571,0.6,0.7058823529411765,0.7058823529411765
0,exclude_negation,逆接・譲歩,0.84,0.5121951219512195,0.6363636363636364,0.6363636363636364
1,exclude_negation,同時進行,0.8515625,0.9819819819819819,0.9121338912133892,0.9121338912133892
2,exclude_negation,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_negation,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_negation,その他,0.8888888888888888,0.8,0.8421052631578947,0.8421052631578947
0,exclude_negation,逆接・譲歩,0.7777777777777778,0.5121951219512195,0.6176470588235294,0.6176470588235294
1,exclude_negation,同時進行,0.84375,0.972972972972973,0.9037656903765691,0.9037656903765691
2,exclude_negation,時間,0.3333333333333333,0.5,0.4,0.4
3,exclude_negation,場所,0.75,0.75,0.75,0.75
4,exclude_negation,その他,1.0,0.6,0.75,0.75
0,exclude_negation,逆接・譲歩,0.8666666666666667,0.6341463414634146,0.7323943661971831,0.7323943661971831
1,exclude_negation,同時進行,0.8780487804878049,0.972972972972973,0.9230769230769231,0.9230769230769231
2,exclude_negation,時間,0.4,1.0,0.5714285714285714,0.5714285714285714
3,exclude_negation,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_negation,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,exclude_negation,逆接・譲歩,0.8,0.4878048780487805,0.6060606060606061,0.6060606060606061
1,exclude_negation,同時進行,0.84375,0.972972972972973,0.9037656903765691,0.9037656903765691
2,exclude_negation,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_negation,場所,0.75,0.75,0.75,0.75
4,exclude_negation,その他,0.875,0.7,0.7777777777777778,0.7777777777777778
0,exclude_negation,逆接・譲歩,0.7804878048780488,0.7804878048780488,0.7804878048780488,0.7804878048780488
1,exclude_negation,同時進行,0.9210526315789473,0.9459459459459459,0.9333333333333333,0.9333333333333333
2,exclude_negation,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_negation,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_negation,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,exclude_negation,逆接・譲歩,0.8064516129032258,0.6097560975609756,0.6944444444444444,0.6944444444444444
1,exclude_negation,同時進行,0.8709677419354839,0.972972972972973,0.9191489361702128,0.9191489361702128
2,exclude_negation,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_negation,場所,0.8,1.0,0.8888888888888888,0.8888888888888888
4,exclude_negation,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,exclude_negation,逆接・譲歩,0.84375,0.6585365853658537,0.7397260273972602,0.7397260273972602
1,exclude_negation,同時進行,0.8780487804878049,0.972972972972973,0.9230769230769231,0.9230769230769231
2,exclude_negation,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_negation,場所,0.75,0.75,0.75,0.75
4,exclude_negation,その他,1.0,0.6,0.75,0.75
0,exclude_negation,逆接・譲歩,0.7857142857142857,0.5365853658536586,0.6376811594202898,0.6376811594202898
1,exclude_negation,同時進行,0.8492063492063492,0.963963963963964,0.9029535864978903,0.9029535864978903
2,exclude_negation,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_negation,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_negation,その他,1.0,0.8,0.8888888888888888,0.8888888888888888
0,exclude_negation,逆接・譲歩,0.8148148148148148,0.5365853658536586,0.6470588235294118,0.6470588235294118
1,exclude_negation,同時進行,0.84375,0.972972972972973,0.9037656903765691,0.9037656903765691
2,exclude_negation,時間,0.5,0.5,0.5,0.5
3,exclude_negation,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,exclude_negation,その他,0.875,0.7,0.7777777777777778,0.7777777777777778
