,label,metric,mean,ci_lower,ci_upper
0,時間,test/acc,0.8099999999999999,0.7022316813658489,0.917768318634151
1,時間,test/precision,0.7833333333333333,0.6443585108188421,0.9223081558478246
2,時間,test/recall,0.9,0.7760409935390877,1.0239590064609123
3,時間,test/f1,0.8099999999999999,0.7022316813658489,0.917768318634151
4,逆接・譲歩,test/acc,0.599871648658675,0.5639163309925345,0.6358269663248156
5,逆接・譲歩,test/precision,0.7651741482386217,0.7349135364957572,0.7954347599814863
6,逆接・譲歩,test/recall,0.502439024390244,0.44955129241904423,0.5553267563614438
7,逆接・譲歩,test/f1,0.599871648658675,0.5639163309925345,0.6358269663248156
8,場所,test/acc,0.7073809523809524,0.6498722766261169,0.764889628135788
9,場所,test/precision,0.6816666666666665,0.5996169464766107,0.7637163868567224
10,場所,test/recall,0.75,0.6807048087825162,0.8192951912174838
11,場所,test/f1,0.7073809523809524,0.6498722766261169,0.764889628135788
12,同時進行,test/acc,0.8959836038430342,0.8905418826084562,0.9014253250776122
13,同時進行,test/precision,0.8337130105020097,0.8206136131602845,0.846812407843735
14,同時進行,test/recall,0.9693693693693695,0.9554211937435704,0.9833175449951685
15,同時進行,test/f1,0.8959836038430342,0.8905418826084562,0.9014253250776122
16,その他,test/acc,0.573058608058608,0.5392460474641025,0.6068711686531134
17,その他,test/precision,0.9266666666666667,0.8706179409201158,0.9827153924132177
18,その他,test/recall,0.42000000000000004,0.38281229806172634,0.45718770193827374
19,その他,test/f1,0.573058608058608,0.5392460474641025,0.6068711686531134
