,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,former-only,逆接・譲歩,0.782608695652174,0.43902439024390244,0.5625,0.5625
1,former-only,同時進行,0.8257575757575758,0.9819819819819819,0.897119341563786,0.897119341563786
2,former-only,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,former-only,場所,0.6666666666666666,1.0,0.8,0.8
4,former-only,その他,0.8333333333333334,0.5,0.625,0.625
0,former-only,逆接・譲歩,0.6756756756756757,0.6097560975609756,0.6410256410256411,0.6410256410256411
1,former-only,同時進行,0.8571428571428571,0.918918918918919,0.8869565217391304,0.8869565217391304
2,former-only,時間,1.0,1.0,1.0,1.0
3,former-only,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,former-only,その他,0.8,0.4,0.5333333333333333,0.5333333333333333
0,former-only,逆接・譲歩,0.7307692307692307,0.4634146341463415,0.5671641791044776,0.5671641791044776
1,former-only,同時進行,0.8181818181818182,0.972972972972973,0.8888888888888888,0.8888888888888888
2,former-only,時間,0.5,0.5,0.5,0.5
3,former-only,場所,0.75,0.75,0.75,0.75
4,former-only,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,former-only,逆接・譲歩,0.85,0.4146341463414634,0.5573770491803278,0.5573770491803278
1,former-only,同時進行,0.8148148148148148,0.990990990990991,0.8943089430894309,0.8943089430894309
2,former-only,時間,0.6666666666666666,1.0,0.8,0.8
3,former-only,場所,0.5,0.5,0.5,0.5
4,former-only,その他,0.8333333333333334,0.5,0.625,0.625
0,former-only,逆接・譲歩,0.75,0.5121951219512195,0.6086956521739131,0.6086956521739131
1,former-only,同時進行,0.8320610687022901,0.9819819819819819,0.9008264462809917,0.9008264462809917
2,former-only,時間,1.0,1.0,1.0,1.0
3,former-only,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,former-only,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,former-only,逆接・譲歩,0.7741935483870968,0.5853658536585366,0.6666666666666666,0.6666666666666666
1,former-only,同時進行,0.8548387096774194,0.954954954954955,0.902127659574468,0.902127659574468
2,former-only,時間,0.6666666666666666,1.0,0.8,0.8
3,former-only,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,former-only,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,former-only,逆接・譲歩,0.7575757575757576,0.6097560975609756,0.6756756756756757,0.6756756756756757
1,former-only,同時進行,0.8617886178861789,0.954954954954955,0.905982905982906,0.905982905982906
2,former-only,時間,0.5,1.0,0.6666666666666666,0.6666666666666666
3,former-only,場所,0.75,0.75,0.75,0.75
4,former-only,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,former-only,逆接・譲歩,0.8235294117647058,0.34146341463414637,0.4827586206896552,0.4827586206896552
1,former-only,同時進行,0.7928571428571428,1.0,0.8844621513944223,0.8844621513944223
2,former-only,時間,1.0,1.0,1.0,1.0
3,former-only,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,former-only,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,former-only,逆接・譲歩,0.7931034482758621,0.5609756097560976,0.6571428571428571,0.6571428571428571
1,former-only,同時進行,0.8515625,0.9819819819819819,0.9121338912133892,0.9121338912133892
2,former-only,時間,1.0,1.0,1.0,1.0
3,former-only,場所,0.75,0.75,0.75,0.75
4,former-only,その他,0.8,0.4,0.5333333333333333,0.5333333333333333
0,former-only,逆接・譲歩,0.7142857142857143,0.4878048780487805,0.5797101449275363,0.5797101449275363
1,former-only,同時進行,0.828125,0.954954954954955,0.8870292887029289,0.8870292887029289
2,former-only,時間,0.5,1.0,0.6666666666666666,0.6666666666666666
3,former-only,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,former-only,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
