,label,metric,mean,ci_lower,ci_upper
0,同時進行,test/acc,0.8723869172003498,0.8665802057213438,0.8781936286793558
1,同時進行,test/precision,0.8104506058468163,0.8007513124662905,0.820149899227342
2,同時進行,test/recall,0.945045045045045,0.9349170597711612,0.9551730303189289
3,同時進行,test/f1,0.8723869172003498,0.8665802057213438,0.8781936286793558
4,逆接・譲歩,test/acc,0.5825461444591331,0.5553958623590316,0.6096964265592346
5,逆接・譲歩,test/precision,0.7794576606650405,0.7602586189540468,0.7986567023760343
6,逆接・譲歩,test/recall,0.46829268292682935,0.4332944087457698,0.5032909571078888
7,逆接・譲歩,test/f1,0.5825461444591331,0.5553958623590316,0.6096964265592346
8,場所,test/acc,0.6702597402597403,0.602807763046259,0.7377117174732216
9,場所,test/precision,0.6366666666666667,0.5156227179100166,0.7577106154233169
10,場所,test/recall,0.775,0.6665358693467017,0.8834641306532983
11,場所,test/f1,0.6702597402597403,0.602807763046259,0.7377117174732216
12,その他,test/acc,0.5145132060921535,0.4671609672761939,0.5618654449081131
13,その他,test/precision,0.7671428571428571,0.6840389251184826,0.8502467891672316
14,その他,test/recall,0.41999999999999993,0.32478528046127453,0.5152147195387253
15,その他,test/f1,0.5145132060921535,0.4671609672761939,0.5618654449081131
16,時間,test/acc,0.4144444444444445,0.2575248757455427,0.5713640131433463
17,時間,test/precision,,,
18,時間,test/recall,0.5,0.3040036015459946,0.6959963984540054
19,時間,test/f1,0.4144444444444445,0.2575248757455427,0.5713640131433463
