,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,latter-only,逆接・譲歩,0.782608695652174,0.43902439024390244,0.5625,0.5625
1,latter-only,同時進行,0.8153846153846154,0.954954954954955,0.8796680497925311,0.8796680497925311
2,latter-only,時間,0.0,0.0,0.0,0.0
3,latter-only,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,latter-only,その他,0.6666666666666666,0.6,0.631578947368421,0.631578947368421
0,latter-only,逆接・譲歩,0.8,0.4878048780487805,0.6060606060606061,0.6060606060606061
1,latter-only,同時進行,0.8211382113821138,0.9099099099099099,0.8632478632478633,0.8632478632478633
2,latter-only,時間,0.6666666666666666,1.0,0.8,0.8
3,latter-only,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,latter-only,その他,0.5714285714285714,0.8,0.6666666666666666,0.6666666666666666
0,latter-only,逆接・譲歩,0.782608695652174,0.43902439024390244,0.5625,0.5625
1,latter-only,同時進行,0.7910447761194029,0.954954954954955,0.8653061224489796,0.8653061224489796
2,latter-only,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,latter-only,場所,0.5714285714285714,1.0,0.7272727272727273,0.7272727272727273
4,latter-only,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,latter-only,逆接・譲歩,0.75,0.5121951219512195,0.6086956521739131,0.6086956521739131
1,latter-only,同時進行,0.8174603174603174,0.9279279279279279,0.869198312236287,0.869198312236287
2,latter-only,時間,0.25,0.5,0.3333333333333333,0.3333333333333333
3,latter-only,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,latter-only,その他,0.8,0.4,0.5333333333333333,0.5333333333333333
0,latter-only,逆接・譲歩,0.7619047619047619,0.3902439024390244,0.5161290322580645,0.5161290322580645
1,latter-only,同時進行,0.8045112781954887,0.963963963963964,0.8770491803278688,0.8770491803278688
2,latter-only,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,latter-only,場所,0.42857142857142855,0.75,0.5454545454545454,0.5454545454545454
4,latter-only,その他,0.6666666666666666,0.4,0.5,0.5
0,latter-only,逆接・譲歩,0.71875,0.5609756097560976,0.6301369863013698,0.6301369863013698
1,latter-only,同時進行,0.8174603174603174,0.9279279279279279,0.869198312236287,0.869198312236287
2,latter-only,時間,,0.0,0.0,0.0
3,latter-only,場所,0.5714285714285714,1.0,0.7272727272727273,0.7272727272727273
4,latter-only,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,latter-only,逆接・譲歩,0.7894736842105263,0.36585365853658536,0.5,0.5
1,latter-only,同時進行,0.7737226277372263,0.954954954954955,0.8548387096774194,0.8548387096774194
2,latter-only,時間,0.25,0.5,0.3333333333333333,0.3333333333333333
3,latter-only,場所,0.5,0.5,0.5,0.5
4,latter-only,その他,0.75,0.3,0.42857142857142855,0.42857142857142855
0,latter-only,逆接・譲歩,0.8,0.4878048780487805,0.6060606060606061,0.6060606060606061
1,latter-only,同時進行,0.8217054263565892,0.954954954954955,0.8833333333333333,0.8833333333333333
2,latter-only,時間,0.2857142857142857,1.0,0.4444444444444444,0.4444444444444444
3,latter-only,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,latter-only,その他,0.8,0.4,0.5333333333333333,0.5333333333333333
0,latter-only,逆接・譲歩,0.84,0.5121951219512195,0.6363636363636364,0.6363636363636364
1,latter-only,同時進行,0.813953488372093,0.9459459459459459,0.875,0.875
2,latter-only,時間,0.5,0.5,0.5,0.5
3,latter-only,場所,0.6666666666666666,1.0,0.8,0.8
4,latter-only,その他,0.6666666666666666,0.4,0.5,0.5
0,latter-only,逆接・譲歩,0.7692307692307693,0.4878048780487805,0.5970149253731343,0.5970149253731343
1,latter-only,同時進行,0.828125,0.954954954954955,0.8870292887029289,0.8870292887029289
2,latter-only,時間,0.3333333333333333,0.5,0.4,0.4
3,latter-only,場所,0.42857142857142855,0.75,0.5454545454545454,0.5454545454545454
4,latter-only,その他,0.75,0.3,0.42857142857142855,0.42857142857142855
