,label,metric,mean,ci_lower,ci_upper
0,逆接・譲歩,test/acc,0.6839566658763485,0.6564977879643362,0.7114155437883608
1,逆接・譲歩,test/precision,0.8060131501930424,0.7795827199479256,0.8324435804381592
2,逆接・譲歩,test/recall,0.5999999999999999,0.5550540704415311,0.6449459295584686
3,逆接・譲歩,test/f1,0.6839566658763485,0.6564977879643362,0.7114155437883608
4,場所,test/acc,0.7332034632034632,0.6521493056235721,0.8142576207833543
5,場所,test/precision,0.8338095238095239,0.7258171380077822,0.9418019096112655
6,場所,test/recall,0.725,0.5962898948635212,0.8537101051364787
7,場所,test/f1,0.7332034632034632,0.6521493056235721,0.8142576207833543
8,時間,test/acc,0.7233333333333334,0.6221001447235883,0.8245665219430784
9,時間,test/precision,0.6666666666666666,0.5444414379905803,0.788891895342753
10,時間,test/recall,0.85,0.7079871174553373,0.9920128825446627
11,時間,test/f1,0.7233333333333334,0.6221001447235883,0.8245665219430784
12,同時進行,test/acc,0.9142601449656892,0.9083451271071417,0.9201751628242367
13,同時進行,test/precision,0.8662572789887906,0.852731503843747,0.8797830541338342
14,同時進行,test/recall,0.9684684684684687,0.9622256584488755,0.9747112784880618
15,同時進行,test/f1,0.9142601449656892,0.9083451271071417,0.9201751628242367
16,その他,test/acc,0.7610773256671088,0.6867282080859184,0.8354264432482993
17,その他,test/precision,0.9690476190476192,0.9305377220888974,1.007557516006341
18,その他,test/recall,0.64,0.5431849209962949,0.7368150790037051
19,その他,test/f1,0.7610773256671088,0.6867282080859184,0.8354264432482993
