,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,normal,逆接・譲歩,0.8214285714285714,0.5609756097560976,0.6666666666666666,0.6666666666666666
1,normal,同時進行,0.8571428571428571,0.972972972972973,0.9113924050632911,0.9113924050632911
2,normal,時間,0.3333333333333333,0.5,0.4,0.4
3,normal,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,normal,その他,1.0,0.6,0.75,0.75
0,normal,逆接・譲歩,0.7105263157894737,0.6585365853658537,0.6835443037974683,0.6835443037974683
1,normal,同時進行,0.8823529411764706,0.9459459459459459,0.9130434782608695,0.9130434782608695
2,normal,時間,0.6666666666666666,1.0,0.8,0.8
3,normal,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,normal,その他,0.8333333333333334,0.5,0.625,0.625
0,normal,逆接・譲歩,0.7878787878787878,0.6341463414634146,0.7027027027027027,0.7027027027027027
1,normal,同時進行,0.8780487804878049,0.972972972972973,0.9230769230769231,0.9230769230769231
2,normal,時間,0.6666666666666666,1.0,0.8,0.8
3,normal,場所,0.75,0.75,0.75,0.75
4,normal,その他,1.0,0.5,0.6666666666666666,0.6666666666666666
0,normal,逆接・譲歩,0.8333333333333334,0.4878048780487805,0.6153846153846154,0.6153846153846154
1,normal,同時進行,0.8384615384615385,0.9819819819819819,0.9045643153526971,0.9045643153526971
2,normal,時間,1.0,1.0,1.0,1.0
3,normal,場所,0.6666666666666666,1.0,0.8,0.8
4,normal,その他,1.0,0.6,0.75,0.75
0,normal,逆接・譲歩,0.8387096774193549,0.6341463414634146,0.7222222222222222,0.7222222222222222
1,normal,同時進行,0.8770491803278688,0.963963963963964,0.9184549356223176,0.9184549356223176
2,normal,時間,0.6666666666666666,1.0,0.8,0.8
3,normal,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,normal,その他,1.0,0.9,0.9473684210526315,0.9473684210526315
0,normal,逆接・譲歩,0.8333333333333334,0.6097560975609756,0.704225352112676,0.704225352112676
1,normal,同時進行,0.8699186991869918,0.963963963963964,0.9145299145299145,0.9145299145299145
2,normal,時間,0.6666666666666666,1.0,0.8,0.8
3,normal,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,normal,その他,1.0,0.9,0.9473684210526315,0.9473684210526315
0,normal,逆接・譲歩,0.8108108108108109,0.7317073170731707,0.7692307692307693,0.7692307692307693
1,normal,同時進行,0.9067796610169492,0.963963963963964,0.9344978165938864,0.9344978165938864
2,normal,時間,0.6666666666666666,1.0,0.8,0.8
3,normal,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,normal,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,normal,逆接・譲歩,0.8695652173913043,0.4878048780487805,0.625,0.625
1,normal,同時進行,0.8257575757575758,0.9819819819819819,0.897119341563786,0.897119341563786
2,normal,時間,0.5,0.5,0.5,0.5
3,normal,場所,0.75,0.75,0.75,0.75
4,normal,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,normal,逆接・譲歩,0.7666666666666667,0.5609756097560976,0.647887323943662,0.647887323943662
1,normal,同時進行,0.8571428571428571,0.972972972972973,0.9113924050632911,0.9113924050632911
2,normal,時間,0.5,1.0,0.6666666666666666,0.6666666666666666
3,normal,場所,1.0,0.25,0.4,0.4
4,normal,その他,0.8571428571428571,0.6,0.7058823529411765,0.7058823529411765
0,normal,逆接・譲歩,0.7878787878787878,0.6341463414634146,0.7027027027027027,0.7027027027027027
1,normal,同時進行,0.8699186991869918,0.963963963963964,0.9145299145299145,0.9145299145299145
2,normal,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,normal,場所,0.5714285714285714,1.0,0.7272727272727273,0.7272727272727273
4,normal,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
