,label,metric,mean,ci_lower,ci_upper
0,同時進行,test/acc,0.8222990344236063,0.8159704013913335,0.8286276674558791
1,同時進行,test/precision,0.7277953805348544,0.7168112650751018,0.7387794959946069
2,同時進行,test/recall,0.9459459459459462,0.9318200793907025,0.9600718125011898
3,同時進行,test/f1,0.8222990344236063,0.8159704013913335,0.8286276674558791
4,逆接・譲歩,test/acc,0.2848585230716786,0.23593825726978318,0.333778788873574
5,逆接・譲歩,test/precision,0.421420153920154,0.38541610796853853,0.4574241998717694
6,逆接・譲歩,test/recall,0.22195121951219515,0.17252549013805857,0.27137694888633174
7,逆接・譲歩,test/f1,0.2848585230716786,0.23593825726978318,0.333778788873574
8,その他,test/acc,0.08787878787878789,0.016384994000771133,0.15937258175680463
9,その他,test/precision,,,
10,その他,test/recall,0.05,0.008422885269509663,0.09157711473049035
11,その他,test/f1,0.08787878787878789,0.016384994000771133,0.15937258175680463
12,場所,test/acc,0.0,,
13,場所,test/precision,,,
14,場所,test/recall,0.0,,
15,場所,test/f1,0.0,,
16,時間,test/acc,0.0,,
17,時間,test/precision,,,
18,時間,test/recall,0.0,,
19,時間,test/f1,0.0,,
