,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,convert_all_words_to_dummy,逆接・譲歩,0.5,0.36585365853658536,0.4225352112676056,0.4225352112676056
1,convert_all_words_to_dummy,同時進行,0.75,0.918918918918919,0.8259109311740891,0.8259109311740891
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,convert_all_words_to_dummy,逆接・譲歩,0.37037037037037035,0.24390243902439024,0.29411764705882354,0.29411764705882354
1,convert_all_words_to_dummy,同時進行,0.7445255474452555,0.918918918918919,0.8225806451612904,0.8225806451612904
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,0.0,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,,0.0,0.0,0.0
0,convert_all_words_to_dummy,逆接・譲歩,0.3333333333333333,0.14634146341463414,0.2033898305084746,0.2033898305084746
1,convert_all_words_to_dummy,同時進行,0.7181208053691275,0.963963963963964,0.823076923076923,0.823076923076923
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,0.0,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,,0.0,0.0,0.0
0,convert_all_words_to_dummy,逆接・譲歩,0.5,0.2926829268292683,0.36923076923076925,0.36923076923076925
1,convert_all_words_to_dummy,同時進行,0.7428571428571429,0.9369369369369369,0.8286852589641435,0.8286852589641435
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,0.0,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,convert_all_words_to_dummy,逆接・譲歩,0.4642857142857143,0.3170731707317073,0.37681159420289856,0.37681159420289856
1,convert_all_words_to_dummy,同時進行,0.7428571428571429,0.9369369369369369,0.8286852589641435,0.8286852589641435
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,,0.0,0.0,0.0
0,convert_all_words_to_dummy,逆接・譲歩,0.4166666666666667,0.12195121951219512,0.18867924528301888,0.18867924528301888
1,convert_all_words_to_dummy,同時進行,0.7051282051282052,0.990990990990991,0.8239700374531835,0.8239700374531835
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,,0.0,0.0,0.0
0,convert_all_words_to_dummy,逆接・譲歩,0.45454545454545453,0.12195121951219512,0.19230769230769232,0.19230769230769232
1,convert_all_words_to_dummy,同時進行,0.7019867549668874,0.954954954954955,0.8091603053435115,0.8091603053435115
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,0.0,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,,0.0,0.0,0.0
0,convert_all_words_to_dummy,逆接・譲歩,0.375,0.21951219512195122,0.27692307692307694,0.27692307692307694
1,convert_all_words_to_dummy,同時進行,0.7272727272727273,0.9369369369369369,0.8188976377952756,0.8188976377952756
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,convert_all_words_to_dummy,逆接・譲歩,0.35,0.17073170731707318,0.22950819672131148,0.22950819672131148
1,convert_all_words_to_dummy,同時進行,0.7054794520547946,0.9279279279279279,0.8015564202334631,0.8015564202334631
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,0.0,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,convert_all_words_to_dummy,逆接・譲歩,0.45,0.21951219512195122,0.29508196721311475,0.29508196721311475
1,convert_all_words_to_dummy,同時進行,0.7397260273972602,0.972972972972973,0.8404669260700389,0.8404669260700389
2,convert_all_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_all_words_to_dummy,場所,0.0,0.0,0.0,0.0
4,convert_all_words_to_dummy,その他,,0.0,0.0,0.0
