,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,convert_connectives_to_dummy,逆接・譲歩,0.8076923076923077,0.5121951219512195,0.6268656716417911,0.6268656716417911
1,convert_connectives_to_dummy,同時進行,0.84375,0.972972972972973,0.9037656903765691,0.9037656903765691
2,convert_connectives_to_dummy,時間,0.5,1.0,0.6666666666666666,0.6666666666666666
3,convert_connectives_to_dummy,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,convert_connectives_to_dummy,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,convert_connectives_to_dummy,逆接・譲歩,0.8275862068965517,0.5853658536585366,0.6857142857142857,0.6857142857142857
1,convert_connectives_to_dummy,同時進行,0.8571428571428571,0.972972972972973,0.9113924050632911,0.9113924050632911
2,convert_connectives_to_dummy,時間,0.5,0.5,0.5,0.5
3,convert_connectives_to_dummy,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,convert_connectives_to_dummy,その他,1.0,0.6,0.75,0.75
0,convert_connectives_to_dummy,逆接・譲歩,0.7878787878787878,0.6341463414634146,0.7027027027027027,0.7027027027027027
1,convert_connectives_to_dummy,同時進行,0.8760330578512396,0.954954954954955,0.9137931034482759,0.9137931034482759
2,convert_connectives_to_dummy,時間,0.4,1.0,0.5714285714285714,0.5714285714285714
3,convert_connectives_to_dummy,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,convert_connectives_to_dummy,その他,1.0,0.6,0.75,0.75
0,convert_connectives_to_dummy,逆接・譲歩,0.7857142857142857,0.5365853658536586,0.6376811594202898,0.6376811594202898
1,convert_connectives_to_dummy,同時進行,0.8548387096774194,0.954954954954955,0.902127659574468,0.902127659574468
2,convert_connectives_to_dummy,時間,0.4,1.0,0.5714285714285714,0.5714285714285714
3,convert_connectives_to_dummy,場所,0.75,0.75,0.75,0.75
4,convert_connectives_to_dummy,その他,0.8571428571428571,0.6,0.7058823529411765,0.7058823529411765
0,convert_connectives_to_dummy,逆接・譲歩,0.84,0.5121951219512195,0.6363636363636364,0.6363636363636364
1,convert_connectives_to_dummy,同時進行,0.8384615384615385,0.9819819819819819,0.9045643153526971,0.9045643153526971
2,convert_connectives_to_dummy,時間,0.5,0.5,0.5,0.5
3,convert_connectives_to_dummy,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,convert_connectives_to_dummy,その他,1.0,0.6,0.75,0.75
0,convert_connectives_to_dummy,逆接・譲歩,0.8529411764705882,0.7073170731707317,0.7733333333333333,0.7733333333333333
1,convert_connectives_to_dummy,同時進行,0.8991596638655462,0.963963963963964,0.9304347826086956,0.9304347826086956
2,convert_connectives_to_dummy,時間,0.3333333333333333,0.5,0.4,0.4
3,convert_connectives_to_dummy,場所,0.75,0.75,0.75,0.75
4,convert_connectives_to_dummy,その他,1.0,0.8,0.8888888888888888,0.8888888888888888
0,convert_connectives_to_dummy,逆接・譲歩,0.7714285714285715,0.6585365853658537,0.7105263157894737,0.7105263157894737
1,convert_connectives_to_dummy,同時進行,0.8833333333333333,0.954954954954955,0.9177489177489178,0.9177489177489178
2,convert_connectives_to_dummy,時間,0.25,0.5,0.3333333333333333,0.3333333333333333
3,convert_connectives_to_dummy,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,convert_connectives_to_dummy,その他,1.0,0.6,0.75,0.75
0,convert_connectives_to_dummy,逆接・譲歩,0.8333333333333334,0.4878048780487805,0.6153846153846154,0.6153846153846154
1,convert_connectives_to_dummy,同時進行,0.8515625,0.9819819819819819,0.9121338912133892,0.9121338912133892
2,convert_connectives_to_dummy,時間,0.3333333333333333,0.5,0.4,0.4
3,convert_connectives_to_dummy,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,convert_connectives_to_dummy,その他,0.875,0.7,0.7777777777777778,0.7777777777777778
0,convert_connectives_to_dummy,逆接・譲歩,0.7878787878787878,0.6341463414634146,0.7027027027027027,0.7027027027027027
1,convert_connectives_to_dummy,同時進行,0.8770491803278688,0.963963963963964,0.9184549356223176,0.9184549356223176
2,convert_connectives_to_dummy,時間,0.6666666666666666,1.0,0.8,0.8
3,convert_connectives_to_dummy,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,convert_connectives_to_dummy,その他,1.0,0.7,0.8235294117647058,0.8235294117647058
0,convert_connectives_to_dummy,逆接・譲歩,0.8076923076923077,0.5121951219512195,0.6268656716417911,0.6268656716417911
1,convert_connectives_to_dummy,同時進行,0.84375,0.972972972972973,0.9037656903765691,0.9037656903765691
2,convert_connectives_to_dummy,時間,0.5,1.0,0.6666666666666666,0.6666666666666666
3,convert_connectives_to_dummy,場所,0.75,0.75,0.75,0.75
4,convert_connectives_to_dummy,その他,1.0,0.6,0.75,0.75
