,label,metric,mean,ci_lower,ci_upper
0,場所,test/acc,0.5429004329004329,0.46342877581660924,0.6223720899842565
1,場所,test/precision,0.4498809523809523,0.3796256968100514,0.5201362079518532
2,場所,test/recall,0.725,0.5788216339874088,0.8711783660125911
3,場所,test/f1,0.5429004329004329,0.46342877581660924,0.6223720899842565
4,逆接・譲歩,test/acc,0.5211363302223064,0.49022635638834744,0.5520463040562654
5,逆接・譲歩,test/precision,0.7560900781041445,0.6963200516189743,0.8158601045893148
6,逆接・譲歩,test/recall,0.40975609756097564,0.36157118355225193,0.45794101156969935
7,逆接・譲歩,test/f1,0.5211363302223064,0.49022635638834744,0.5520463040562654
8,時間,test/acc,0.21666666666666665,-0.000261594639929863,0.43359492797326316
9,時間,test/precision,,,
10,時間,test/recall,0.2,-0.005562756908043476,0.4055627569080435
11,時間,test/f1,0.21666666666666665,-0.000261594639929863,0.43359492797326316
12,その他,test/acc,0.43146520146520145,0.34599706827225857,0.5169333346581443
13,その他,test/precision,0.8233333333333333,0.7057173478463367,0.9409493188203298
14,その他,test/recall,0.31000000000000005,0.22479227047320244,0.39520772952679767
15,その他,test/f1,0.43146520146520145,0.34599706827225857,0.5169333346581443
16,同時進行,test/acc,0.8765248847838999,0.8716287448674757,0.8814210247003241
17,同時進行,test/precision,0.801962607447565,0.7875709795304879,0.816354235364642
18,同時進行,test/recall,0.9675675675675676,0.9555398256014295,0.9795953095337057
19,同時進行,test/f1,0.8765248847838999,0.8716287448674757,0.8814210247003241
