,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,convert_content_words_to_dummy,逆接・譲歩,0.875,0.34146341463414637,0.49122807017543857,0.49122807017543857
1,convert_content_words_to_dummy,同時進行,0.7785714285714286,0.9819819819819819,0.8685258964143426,0.8685258964143426
2,convert_content_words_to_dummy,時間,0.5,0.5,0.5,0.5
3,convert_content_words_to_dummy,場所,0.42857142857142855,0.75,0.5454545454545454,0.5454545454545454
4,convert_content_words_to_dummy,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,convert_content_words_to_dummy,逆接・譲歩,0.8095238095238095,0.4146341463414634,0.5483870967741935,0.5483870967741935
1,convert_content_words_to_dummy,同時進行,0.8059701492537313,0.972972972972973,0.8816326530612245,0.8816326530612245
2,convert_content_words_to_dummy,時間,1.0,1.0,1.0,1.0
3,convert_content_words_to_dummy,場所,0.5,0.75,0.6,0.6
4,convert_content_words_to_dummy,その他,0.8,0.4,0.5333333333333333,0.5333333333333333
0,convert_content_words_to_dummy,逆接・譲歩,0.6296296296296297,0.4146341463414634,0.5,0.5
1,convert_content_words_to_dummy,同時進行,0.8045112781954887,0.963963963963964,0.8770491803278688,0.8770491803278688
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.2,0.25,0.2222222222222222,0.2222222222222222
4,convert_content_words_to_dummy,その他,1.0,0.3,0.46153846153846156,0.46153846153846156
0,convert_content_words_to_dummy,逆接・譲歩,0.8260869565217391,0.4634146341463415,0.59375,0.59375
1,convert_content_words_to_dummy,同時進行,0.8181818181818182,0.972972972972973,0.8888888888888888,0.8888888888888888
2,convert_content_words_to_dummy,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,convert_content_words_to_dummy,場所,0.5,1.0,0.6666666666666666,0.6666666666666666
4,convert_content_words_to_dummy,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,convert_content_words_to_dummy,逆接・譲歩,0.6111111111111112,0.5365853658536586,0.5714285714285714,0.5714285714285714
1,convert_content_words_to_dummy,同時進行,0.8442622950819673,0.9279279279279279,0.8841201716738197,0.8841201716738197
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.5,1.0,0.6666666666666666,0.6666666666666666
4,convert_content_words_to_dummy,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,convert_content_words_to_dummy,逆接・譲歩,0.6470588235294118,0.5365853658536586,0.5866666666666667,0.5866666666666667
1,convert_content_words_to_dummy,同時進行,0.832,0.9369369369369369,0.8813559322033898,0.8813559322033898
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.4,0.5,0.4444444444444444,0.4444444444444444
4,convert_content_words_to_dummy,その他,1.0,0.4,0.5714285714285714,0.5714285714285714
0,convert_content_words_to_dummy,逆接・譲歩,0.8,0.3902439024390244,0.5245901639344263,0.5245901639344263
1,convert_content_words_to_dummy,同時進行,0.7956204379562044,0.9819819819819819,0.8790322580645161,0.8790322580645161
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.5,1.0,0.6666666666666666,0.6666666666666666
4,convert_content_words_to_dummy,その他,0.6666666666666666,0.2,0.3076923076923077,0.3076923076923077
0,convert_content_words_to_dummy,逆接・譲歩,0.8235294117647058,0.34146341463414637,0.4827586206896552,0.4827586206896552
1,convert_content_words_to_dummy,同時進行,0.7898550724637681,0.9819819819819819,0.8755020080321285,0.8755020080321285
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,convert_content_words_to_dummy,その他,0.6,0.6,0.6,0.6
0,convert_content_words_to_dummy,逆接・譲歩,0.6818181818181818,0.36585365853658536,0.47619047619047616,0.47619047619047616
1,convert_content_words_to_dummy,同時進行,0.7867647058823529,0.963963963963964,0.8663967611336032,0.8663967611336032
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.375,0.75,0.5,0.5
4,convert_content_words_to_dummy,その他,0.5,0.1,0.16666666666666666,0.16666666666666666
0,convert_content_words_to_dummy,逆接・譲歩,0.8571428571428571,0.2926829268292683,0.43636363636363634,0.43636363636363634
1,convert_content_words_to_dummy,同時進行,0.7638888888888888,0.990990990990991,0.8627450980392157,0.8627450980392157
2,convert_content_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_content_words_to_dummy,場所,0.42857142857142855,0.75,0.5454545454545454,0.5454545454545454
4,convert_content_words_to_dummy,その他,0.6666666666666666,0.2,0.3076923076923077,0.3076923076923077
