,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,convert_function_words_to_dummy,逆接・譲歩,0.5471698113207547,0.7073170731707317,0.6170212765957447,0.6170212765957447
1,convert_function_words_to_dummy,同時進行,0.8703703703703703,0.8468468468468469,0.8584474885844748,0.8584474885844748
2,convert_function_words_to_dummy,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,convert_function_words_to_dummy,場所,0.5,0.5,0.5,0.5
4,convert_function_words_to_dummy,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,convert_function_words_to_dummy,逆接・譲歩,0.6923076923076923,0.43902439024390244,0.5373134328358209,0.5373134328358209
1,convert_function_words_to_dummy,同時進行,0.8106060606060606,0.963963963963964,0.8806584362139918,0.8806584362139918
2,convert_function_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_function_words_to_dummy,場所,0.2857142857142857,0.5,0.36363636363636365,0.36363636363636365
4,convert_function_words_to_dummy,その他,0.6666666666666666,0.2,0.3076923076923077,0.3076923076923077
0,convert_function_words_to_dummy,逆接・譲歩,0.6666666666666666,0.43902439024390244,0.5294117647058824,0.5294117647058824
1,convert_function_words_to_dummy,同時進行,0.8181818181818182,0.972972972972973,0.8888888888888888,0.8888888888888888
2,convert_function_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_function_words_to_dummy,場所,0.6,0.75,0.6666666666666666,0.6666666666666666
4,convert_function_words_to_dummy,その他,0.5,0.2,0.2857142857142857,0.2857142857142857
0,convert_function_words_to_dummy,逆接・譲歩,0.6216216216216216,0.5609756097560976,0.5897435897435898,0.5897435897435898
1,convert_function_words_to_dummy,同時進行,0.8620689655172413,0.9009009009009009,0.8810572687224669,0.8810572687224669
2,convert_function_words_to_dummy,時間,0.3333333333333333,0.5,0.4,0.4
3,convert_function_words_to_dummy,場所,0.4,0.5,0.4444444444444444,0.4444444444444444
4,convert_function_words_to_dummy,その他,0.5714285714285714,0.4,0.47058823529411764,0.47058823529411764
0,convert_function_words_to_dummy,逆接・譲歩,0.6666666666666666,0.6341463414634146,0.65,0.65
1,convert_function_words_to_dummy,同時進行,0.8898305084745762,0.9459459459459459,0.9170305676855895,0.9170305676855895
2,convert_function_words_to_dummy,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,convert_function_words_to_dummy,場所,0.5,1.0,0.6666666666666666,0.6666666666666666
4,convert_function_words_to_dummy,その他,0.5,0.1,0.16666666666666666,0.16666666666666666
0,convert_function_words_to_dummy,逆接・譲歩,0.6829268292682927,0.6829268292682927,0.6829268292682927,0.6829268292682927
1,convert_function_words_to_dummy,同時進行,0.8813559322033898,0.9369369369369369,0.9082969432314411,0.9082969432314411
2,convert_function_words_to_dummy,時間,0.3333333333333333,0.5,0.4,0.4
3,convert_function_words_to_dummy,場所,0.75,0.75,0.75,0.75
4,convert_function_words_to_dummy,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,convert_function_words_to_dummy,逆接・譲歩,0.68,0.4146341463414634,0.5151515151515151,0.5151515151515151
1,convert_function_words_to_dummy,同時進行,0.816793893129771,0.963963963963964,0.8842975206611571,0.8842975206611571
2,convert_function_words_to_dummy,時間,0.5,1.0,0.6666666666666666,0.6666666666666666
3,convert_function_words_to_dummy,場所,1.0,0.75,0.8571428571428571,0.8571428571428571
4,convert_function_words_to_dummy,その他,0.6,0.3,0.4,0.4
0,convert_function_words_to_dummy,逆接・譲歩,0.65625,0.5121951219512195,0.5753424657534246,0.5753424657534246
1,convert_function_words_to_dummy,同時進行,0.848,0.954954954954955,0.8983050847457628,0.8983050847457628
2,convert_function_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_function_words_to_dummy,場所,0.75,0.75,0.75,0.75
4,convert_function_words_to_dummy,その他,0.42857142857142855,0.3,0.35294117647058826,0.35294117647058826
0,convert_function_words_to_dummy,逆接・譲歩,0.631578947368421,0.5853658536585366,0.6075949367088608,0.6075949367088608
1,convert_function_words_to_dummy,同時進行,0.8672566371681416,0.8828828828828829,0.875,0.875
2,convert_function_words_to_dummy,時間,0.4,1.0,0.5714285714285714,0.5714285714285714
3,convert_function_words_to_dummy,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,convert_function_words_to_dummy,その他,0.5,0.5,0.5,0.5
0,convert_function_words_to_dummy,逆接・譲歩,0.6578947368421053,0.6097560975609756,0.6329113924050633,0.6329113924050633
1,convert_function_words_to_dummy,同時進行,0.8760330578512396,0.954954954954955,0.9137931034482759,0.9137931034482759
2,convert_function_words_to_dummy,時間,,0.0,0.0,0.0
3,convert_function_words_to_dummy,場所,0.5,0.5,0.5,0.5
4,convert_function_words_to_dummy,その他,0.4,0.2,0.26666666666666666,0.26666666666666666
