,label,metric,mean,ci_lower,ci_upper
0,その他,test/acc,0.18181818181818182,,
1,その他,test/precision,1.0,,
2,その他,test/recall,0.1,,
3,その他,test/f1,0.18181818181818182,,
4,時間,test/acc,0.6666666666666666,,
5,時間,test/precision,1.0,,
6,時間,test/recall,0.5,,
7,時間,test/f1,0.6666666666666666,,
8,同時進行,test/acc,0.9045643153526971,,
9,同時進行,test/precision,0.8384615384615385,,
10,同時進行,test/recall,0.9819819819819819,,
11,同時進行,test/f1,0.9045643153526971,,
12,逆接・譲歩,test/acc,0.5454545454545454,,
13,逆接・譲歩,test/precision,0.72,,
14,逆接・譲歩,test/recall,0.43902439024390244,,
15,逆接・譲歩,test/f1,0.5454545454545454,,
16,場所,test/acc,0.4,,
17,場所,test/precision,0.2727272727272727,,
18,場所,test/recall,0.75,,
19,場所,test/f1,0.4,,
