,label,metric,mean,ci_lower,ci_upper
0,同時進行,test/acc,0.8655053553576538,0.8579698948981159,0.8730408158171917
1,同時進行,test/precision,0.8025275465758558,0.7943785630005865,0.8106765301511251
2,同時進行,test/recall,0.9396396396396398,0.9257250336789394,0.9535542456003402
3,同時進行,test/f1,0.8655053553576538,0.8579698948981159,0.8730408158171917
4,その他,test/acc,0.24337329337329341,0.19888670499499234,0.2878598817515945
5,その他,test/precision,0.7666666666666666,0.6120626226061229,0.9212707107272103
6,その他,test/recall,0.15,0.11901024838477192,0.18098975161522807
7,その他,test/f1,0.24337329337329341,0.19888670499499234,0.2878598817515945
8,時間,test/acc,0.4038095238095239,0.17727386319936111,0.6303451844196867
9,時間,test/precision,,,
10,時間,test/recall,0.45,0.19257978972704248,0.7074202102729575
11,時間,test/f1,0.4038095238095239,0.17727386319936111,0.6303451844196867
12,逆接・譲歩,test/acc,0.578291242696224,0.5538235358520232,0.6027589495404249
13,逆接・譲歩,test/precision,0.6938662417444398,0.6563105408355905,0.7314219426532891
14,逆接・譲歩,test/recall,0.5,0.4674020183649931,0.5325979816350068
15,逆接・譲歩,test/f1,0.578291242696224,0.5538235358520232,0.6027589495404249
16,場所,test/acc,0.3742063492063492,0.2691763087519979,0.47923638966070053
17,場所,test/precision,0.37583333333333335,0.27262588001603283,0.4790407866506339
18,場所,test/recall,0.425,0.25455636611624555,0.5954436338837544
19,場所,test/f1,0.3742063492063492,0.2691763087519979,0.47923638966070053
