,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_content_words,逆接・譲歩,0.6551724137931034,0.4634146341463415,0.5428571428571428,0.5428571428571428
1,exclude_content_words,同時進行,0.8125,0.9369369369369369,0.8702928870292888,0.8702928870292888
2,exclude_content_words,時間,,0.0,0.0,0.0
3,exclude_content_words,場所,0.4,1.0,0.5714285714285714,0.5714285714285714
4,exclude_content_words,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,exclude_content_words,逆接・譲歩,0.7777777777777778,0.5121951219512195,0.6176470588235294,0.6176470588235294
1,exclude_content_words,同時進行,0.8062015503875969,0.9369369369369369,0.8666666666666667,0.8666666666666667
2,exclude_content_words,時間,0.4,1.0,0.5714285714285714,0.5714285714285714
3,exclude_content_words,場所,0.3333333333333333,0.25,0.2857142857142857,0.2857142857142857
4,exclude_content_words,その他,0.5,0.2,0.2857142857142857,0.2857142857142857
0,exclude_content_words,逆接・譲歩,0.6216216216216216,0.5609756097560976,0.5897435897435898,0.5897435897435898
1,exclude_content_words,同時進行,0.8174603174603174,0.9279279279279279,0.869198312236287,0.869198312236287
2,exclude_content_words,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_content_words,場所,0.5,0.25,0.3333333333333333,0.3333333333333333
4,exclude_content_words,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,exclude_content_words,逆接・譲歩,0.6666666666666666,0.4878048780487805,0.5633802816901409,0.5633802816901409
1,exclude_content_words,同時進行,0.7923076923076923,0.9279279279279279,0.8547717842323651,0.8547717842323651
2,exclude_content_words,時間,1.0,1.0,1.0,1.0
3,exclude_content_words,場所,0.6666666666666666,0.5,0.5714285714285714,0.5714285714285714
4,exclude_content_words,その他,0.6666666666666666,0.2,0.3076923076923077,0.3076923076923077
0,exclude_content_words,逆接・譲歩,0.8,0.4878048780487805,0.6060606060606061,0.6060606060606061
1,exclude_content_words,同時進行,0.8059701492537313,0.972972972972973,0.8816326530612245,0.8816326530612245
2,exclude_content_words,時間,,0.0,0.0,0.0
3,exclude_content_words,場所,0.375,0.75,0.5,0.5
4,exclude_content_words,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,exclude_content_words,逆接・譲歩,0.7083333333333334,0.4146341463414634,0.5230769230769231,0.5230769230769231
1,exclude_content_words,同時進行,0.7925925925925926,0.963963963963964,0.8699186991869918,0.8699186991869918
2,exclude_content_words,時間,0.25,0.5,0.3333333333333333,0.3333333333333333
3,exclude_content_words,場所,0.5,0.5,0.5,0.5
4,exclude_content_words,その他,1.0,0.1,0.18181818181818182,0.18181818181818182
0,exclude_content_words,逆接・譲歩,0.75,0.5853658536585366,0.6575342465753424,0.6575342465753424
1,exclude_content_words,同時進行,0.8267716535433071,0.9459459459459459,0.8823529411764706,0.8823529411764706
2,exclude_content_words,時間,0.6666666666666666,1.0,0.8,0.8
3,exclude_content_words,場所,0.25,0.25,0.25,0.25
4,exclude_content_words,その他,1.0,0.2,0.3333333333333333,0.3333333333333333
0,exclude_content_words,逆接・譲歩,0.6216216216216216,0.5609756097560976,0.5897435897435898,0.5897435897435898
1,exclude_content_words,同時進行,0.792,0.8918918918918919,0.8389830508474576,0.8389830508474576
2,exclude_content_words,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_content_words,場所,0.3333333333333333,0.25,0.2857142857142857,0.2857142857142857
4,exclude_content_words,その他,0.5,0.1,0.16666666666666666,0.16666666666666666
0,exclude_content_words,逆接・譲歩,0.6451612903225806,0.4878048780487805,0.5555555555555556,0.5555555555555556
1,exclude_content_words,同時進行,0.7984496124031008,0.9279279279279279,0.8583333333333333,0.8583333333333333
2,exclude_content_words,時間,,0.0,0.0,0.0
3,exclude_content_words,場所,0.4,0.5,0.4444444444444444,0.4444444444444444
4,exclude_content_words,その他,0.6666666666666666,0.2,0.3076923076923077,0.3076923076923077
0,exclude_content_words,逆接・譲歩,0.6923076923076923,0.43902439024390244,0.5373134328358209,0.5373134328358209
1,exclude_content_words,同時進行,0.781021897810219,0.963963963963964,0.8629032258064516,0.8629032258064516
2,exclude_content_words,時間,,0.0,0.0,0.0
3,exclude_content_words,場所,0.0,0.0,0.0,0.0
4,exclude_content_words,その他,0.3333333333333333,0.1,0.15384615384615385,0.15384615384615385
