,label,metric,mean,ci_lower,ci_upper
0,その他,test/acc,0.28509425902614755,0.19323332926525488,0.3769551887870402
1,その他,test/precision,0.3600541125541125,0.23051741026091915,0.4895908148473059
2,その他,test/recall,0.25,0.16569876146648777,0.33430123853351223
3,その他,test/f1,0.28509425902614755,0.19323332926525488,0.3769551887870402
4,場所,test/acc,0.37868131868131866,0.22084352241268163,0.5365191149499557
5,場所,test/precision,,,
6,場所,test/recall,0.4,0.20156877032050935,0.5984312296794907
7,場所,test/f1,0.37868131868131866,0.22084352241268163,0.5365191149499557
8,逆接・譲歩,test/acc,0.4991054267330842,0.4633284481270371,0.5348824053391313
9,逆接・譲歩,test/precision,0.5970956595804466,0.5585546073871107,0.6356367117737826
10,逆接・譲歩,test/recall,0.4439024390243903,0.3862198265210924,0.5015850515276882
11,逆接・譲歩,test/f1,0.4991054267330842,0.4633284481270371,0.5348824053391313
12,時間,test/acc,0.3233333333333333,0.15320615128960183,0.4934605153770648
13,時間,test/precision,,,
14,時間,test/recall,0.3,0.1481818425742008,0.45181815742579917
15,時間,test/f1,0.3233333333333333,0.15320615128960183,0.4934605153770648
16,同時進行,test/acc,0.8726390754764596,0.8653184459971379,0.8799597049557812
17,同時進行,test/precision,0.8232916106045443,0.8087169741737659,0.8378662470353226
18,同時進行,test/recall,0.9306306306306306,0.9055286338818107,0.9557326273794504
19,同時進行,test/f1,0.8726390754764596,0.8653184459971379,0.8799597049557812
