,cfg.experiment_type,label,test/precision,test/recall,test/f1,test/acc
0,exclude_function_words,逆接・譲歩,0.6333333333333333,0.4634146341463415,0.5352112676056338,0.5352112676056338
1,exclude_function_words,同時進行,0.8333333333333334,0.9459459459459459,0.8860759493670886,0.8860759493670886
2,exclude_function_words,時間,0.5,0.5,0.5,0.5
3,exclude_function_words,場所,0.0,0.0,0.0,0.0
4,exclude_function_words,その他,0.3333333333333333,0.3,0.3157894736842105,0.3157894736842105
0,exclude_function_words,逆接・譲歩,0.5862068965517241,0.4146341463414634,0.4857142857142857,0.4857142857142857
1,exclude_function_words,同時進行,0.832,0.9369369369369369,0.8813559322033898,0.8813559322033898
2,exclude_function_words,時間,0.3333333333333333,0.5,0.4,0.4
3,exclude_function_words,場所,0.3333333333333333,0.25,0.2857142857142857,0.2857142857142857
4,exclude_function_words,その他,0.375,0.3,0.3333333333333333,0.3333333333333333
0,exclude_function_words,逆接・譲歩,0.5882352941176471,0.24390243902439024,0.3448275862068966,0.3448275862068966
1,exclude_function_words,同時進行,0.7769784172661871,0.972972972972973,0.864,0.864
2,exclude_function_words,時間,,0.0,0.0,0.0
3,exclude_function_words,場所,0.4444444444444444,1.0,0.6153846153846154,0.6153846153846154
4,exclude_function_words,その他,0.0,0.0,0.0,0.0
0,exclude_function_words,逆接・譲歩,0.5757575757575758,0.4634146341463415,0.5135135135135135,0.5135135135135135
1,exclude_function_words,同時進行,0.8333333333333334,0.9459459459459459,0.8860759493670886,0.8860759493670886
2,exclude_function_words,時間,,0.0,0.0,0.0
3,exclude_function_words,場所,,0.0,0.0,0.0
4,exclude_function_words,その他,0.3333333333333333,0.3,0.3157894736842105,0.3157894736842105
0,exclude_function_words,逆接・譲歩,0.5428571428571428,0.4634146341463415,0.5,0.5
1,exclude_function_words,同時進行,0.8360655737704918,0.918918918918919,0.8755364806866953,0.8755364806866953
2,exclude_function_words,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_function_words,場所,0.5,0.25,0.3333333333333333,0.3333333333333333
4,exclude_function_words,その他,0.5,0.4,0.4444444444444444,0.4444444444444444
0,exclude_function_words,逆接・譲歩,0.5,0.5853658536585366,0.5393258426966292,0.5393258426966292
1,exclude_function_words,同時進行,0.8623853211009175,0.8468468468468469,0.8545454545454545,0.8545454545454545
2,exclude_function_words,時間,,0.0,0.0,0.0
3,exclude_function_words,場所,0.25,0.25,0.25,0.25
4,exclude_function_words,その他,0.42857142857142855,0.3,0.35294117647058826,0.35294117647058826
0,exclude_function_words,逆接・譲歩,0.5227272727272727,0.5609756097560976,0.5411764705882353,0.5411764705882353
1,exclude_function_words,同時進行,0.8421052631578947,0.8648648648648649,0.8533333333333334,0.8533333333333334
2,exclude_function_words,時間,0.5,0.5,0.5,0.5
3,exclude_function_words,場所,0.3333333333333333,0.25,0.2857142857142857,0.2857142857142857
4,exclude_function_words,その他,0.6,0.3,0.4,0.4
0,exclude_function_words,逆接・譲歩,0.6666666666666666,0.43902439024390244,0.5294117647058824,0.5294117647058824
1,exclude_function_words,同時進行,0.7969924812030075,0.954954954954955,0.8688524590163934,0.8688524590163934
2,exclude_function_words,時間,1.0,0.5,0.6666666666666666,0.6666666666666666
3,exclude_function_words,場所,0.75,0.75,0.75,0.75
4,exclude_function_words,その他,0.6666666666666666,0.2,0.3076923076923077,0.3076923076923077
0,exclude_function_words,逆接・譲歩,0.7,0.34146341463414637,0.45901639344262296,0.45901639344262296
1,exclude_function_words,同時進行,0.8120300751879699,0.972972972972973,0.8852459016393442,0.8852459016393442
2,exclude_function_words,時間,0.5,0.5,0.5,0.5
3,exclude_function_words,場所,1.0,0.5,0.6666666666666666,0.6666666666666666
4,exclude_function_words,その他,0.36363636363636365,0.4,0.38095238095238093,0.38095238095238093
0,exclude_function_words,逆接・譲歩,0.6551724137931034,0.4634146341463415,0.5428571428571428,0.5428571428571428
1,exclude_function_words,同時進行,0.8076923076923077,0.9459459459459459,0.8713692946058091,0.8713692946058091
2,exclude_function_words,時間,,0.0,0.0,0.0
3,exclude_function_words,場所,0.5,0.75,0.6,0.6
4,exclude_function_words,その他,0.0,0.0,0.0,0.0
